Date,Adj Close_GREENPOWER.NS,Close_GREENPOWER.NS,High_GREENPOWER.NS,Low_GREENPOWER.NS,Open_GREENPOWER.NS,Volume_GREENPOWER.NS,Date
2023-09-11,14.350000381469727,14.350000381469727,14.800000190734863,13.350000381469727,14.600000381469727,20527396,2023-09-11
2023-09-18,13.800000190734863,13.800000190734863,14.649999618530273,13.699999809265137,14.600000381469727,8721884,2023-09-18
2023-09-25,12.949999809265137,12.949999809265137,14.25,12.949999809265137,13.800000190734863,19651827,2023-09-25
2023-10-02,14.050000190734863,14.050000190734863,14.050000190734863,12.550000190734863,12.949999809265137,22994735,2023-10-02
2023-10-09,13.550000190734863,13.550000190734863,14.25,13.25,13.949999809265137,22256312,2023-10-09
2023-10-16,13.699999809265137,13.699999809265137,14.100000381469727,13.5,13.699999809265137,14127667,2023-10-16
2023-10-23,13.0,13.0,13.949999809265137,12.050000190734863,13.899999618530273,13401244,2023-10-23
2023-10-30,15.149999618530273,15.149999618530273,15.149999618530273,12.800000190734863,13.199999809265137,33201336,2023-10-30
2023-11-06,17.350000381469727,17.350000381469727,18.350000381469727,15.399999618530273,15.899999618530273,180042929,2023-11-06
2023-11-13,22.100000381469727,22.100000381469727,22.100000381469727,18.350000381469727,18.5,63104842,2023-11-13
2023-11-20,22.899999618530273,22.899999618530273,24.200000762939453,19.799999237060547,23.200000762939453,215001920,2023-11-20
2023-11-27,22.149999618530273,22.149999618530273,24.0,20.799999237060547,22.899999618530273,97473846,2023-11-27
2023-12-04,22.850000381469727,22.850000381469727,25.5,22.549999237060547,23.200000762939453,141798370,2023-12-04
2023-12-11,22.950000762939453,22.950000762939453,24.600000381469727,22.850000381469727,23.350000381469727,56405794,2023-12-11
2023-12-18,22.350000381469727,22.350000381469727,23.5,20.75,22.950000762939453,57495139,2023-12-18
2023-12-25,21.799999237060547,21.799999237060547,22.649999618530273,21.25,22.350000381469727,21686672,2023-12-25
2024-01-01,23.5,23.5,24.200000762939453,21.950000762939453,22.149999618530273,61387208,2024-01-01
2024-01-08,23.799999237060547,23.799999237060547,25.25,23.75,24.200000762939453,87167306,2024-01-08
2024-01-15,22.950000762939453,22.950000762939453,24.200000762939453,21.649999618530273,24.200000762939453,37437266,2024-01-15
2024-01-22,23.149999618530273,23.149999618530273,23.600000381469727,21.799999237060547,22.950000762939453,23945328,2024-01-22
2024-01-29,28.450000762939453,28.450000762939453,28.450000762939453,23.700000762939453,23.950000762939453,76094068,2024-01-29
2024-02-05,29.649999618530273,29.649999618530273,34.45000076293945,29.0,29.0,66635418,2024-02-05
2024-02-12,25.049999237060547,25.049999237060547,29.200000762939453,24.5,28.799999237060547,156505627,2024-02-12
2024-02-19,23.75,23.75,26.299999237060547,22.799999237060547,25.549999237060547,43810220,2024-02-19
2024-02-26,22.75,22.75,24.25,21.0,24.25,21661060,2024-02-26
2024-03-04,21.700000762939453,21.700000762939453,23.350000381469727,19.899999618530273,23.100000381469727,16013341,2024-03-04
2024-03-11,20.299999237060547,20.299999237060547,22.5,17.899999618530273,22.450000762939453,20838551,2024-03-11
2024-03-18,20.299999237060547,20.299999237060547,20.299999237060547,18.0,20.299999237060547,12232508,2024-03-18
2024-03-25,18.700000762939453,18.700000762939453,21.299999237060547,18.5,20.299999237060547,13596300,2024-03-25
2024-04-01,22.299999237060547,22.299999237060547,22.799999237060547,19.299999237060547,19.299999237060547,16805713,2024-04-01
2024-04-08,21.100000381469727,21.100000381469727,22.75,20.600000381469727,22.700000762939453,8761123,2024-04-08
2024-04-15,20.5,20.5,22.0,19.75,20.350000381469727,12070467,2024-04-15
2024-04-22,20.75,20.75,21.299999237060547,20.049999237060547,20.950000762939453,8549633,2024-04-22
2024-04-29,20.649999618530273,20.649999618530273,21.399999618530273,20.299999237060547,21.0,8747019,2024-04-29
2024-05-06,19.5,19.5,20.950000762939453,19.100000381469727,20.75,8264526,2024-05-06
2024-05-13,21.350000381469727,21.350000381469727,21.549999237060547,18.799999237060547,19.649999618530273,11583499,2024-05-13
2024-05-20,21.049999237060547,21.049999237060547,21.600000381469727,20.399999618530273,20.850000381469727,15750305,2024-05-20
2024-05-27,19.649999618530273,19.649999618530273,20.200000762939453,18.950000762939453,20.049999237060547,23803692,2024-05-27
2024-06-03,19.799999237060547,19.799999237060547,20.700000762939453,18.649999618530273,20.600000381469727,28187893,2024-06-03
2024-06-10,21.18000030517578,21.18000030517578,22.149999618530273,19.899999618530273,20.3799991607666,30354987,2024-06-10
2024-06-17,20.799999237060547,20.799999237060547,21.5,20.399999618530273,21.18000030517578,15107763,2024-06-17
2024-06-24,20.219999313354492,20.219999313354492,21.459999084472656,20.010000228881836,20.889999389648438,15520205,2024-06-24
2024-07-01,21.350000381469727,21.350000381469727,22.0,20.139999389648438,20.309999465942383,38873647,2024-07-01
2024-07-08,21.40999984741211,21.40999984741211,23.530000686645508,21.25,21.899999618530273,58579899,2024-07-08
2024-07-15,20.34000015258789,20.34000015258789,21.940000534057617,20.0,21.489999771118164,16280480,2024-07-15
2024-07-22,21.469999313354492,21.469999313354492,22.649999618530273,19.40999984741211,20.219999313354492,32594697,2024-07-22
2024-07-29,21.889999389648438,21.889999389648438,22.799999237060547,21.049999237060547,21.700000762939453,33988552,2024-07-29
2024-08-05,21.888887405395508,21.888887405395508,23.184635162353516,19.241859436035156,19.889734268188477,123548962,2024-08-05
2024-08-12,21.399999618530273,21.399999618530273,22.56452751159668,20.350000381469727,22.018463134765625,56870106,2024-08-12
2024-08-19,21.649999618530273,21.649999618530273,23.43000030517578,20.5,21.239999771118164,66809643,2024-08-19
