Date,Adj Close_VAIBHAVGBL.NS,Close_VAIBHAVGBL.NS,High_VAIBHAVGBL.NS,Low_VAIBHAVGBL.NS,Open_VAIBHAVGBL.NS,Volume_VAIBHAVGBL.NS,Date
2024-03-18,367.92132568359375,378.1000061035156,387.70001220703125,352.6499938964844,375.0,1857580,2024-03-18
2024-03-25,354.4928283691406,364.29998779296875,381.5,360.20001220703125,378.1000061035156,1619130,2024-03-25
2024-04-01,380.96063232421875,391.5,405.0,366.75,366.8999938964844,2945052,2024-04-01
2024-04-08,358.8717041015625,368.79998779296875,397.3999938964844,367.04998779296875,393.95001220703125,1042457,2024-04-08
2024-04-15,365.44000244140625,375.54998779296875,388.3999938964844,350.1499938964844,350.1499938964844,2108165,2024-04-15
2024-04-22,390.2535400390625,401.04998779296875,415.45001220703125,365.20001220703125,368.0,3334787,2024-04-22
2024-04-29,391.66455078125,402.5,437.79998779296875,400.0,404.0,5545910,2024-04-29
2024-05-06,356.58502197265625,366.45001220703125,405.20001220703125,365.20001220703125,404.0,1610878,2024-05-06
2024-05-13,376.9710388183594,387.3999938964844,390.0,356.75,368.0,1314151,2024-05-13
2024-05-20,361.4990539550781,371.5,395.0,368.29998779296875,382.45001220703125,1525271,2024-05-20
2024-05-27,329.095458984375,338.20001220703125,380.0,334.0,374.3999938964844,1752163,2024-05-27
2024-06-03,308.27154541015625,316.79998779296875,349.8999938964844,262.6499938964844,349.8999938964844,5730803,2024-06-03
2024-06-10,323.2570495605469,332.20001220703125,334.70001220703125,316.3999938964844,323.8999938964844,1679381,2024-06-10
2024-06-17,320.62969970703125,329.5,338.70001220703125,321.29998779296875,332.20001220703125,1462816,2024-06-17
2024-06-24,300.2923583984375,308.6000061035156,330.0,307.1499938964844,329.54998779296875,1738711,2024-06-24
2024-07-01,329.85498046875,337.3500061035156,341.8999938964844,310.6499938964844,313.20001220703125,6287962,2024-07-01
2024-07-08,321.5438232421875,328.8500061035156,345.5,314.75,341.0,3028507,2024-07-08
2024-07-15,306.38818359375,313.3500061035156,330.20001220703125,312.1000061035156,328.95001220703125,1193885,2024-07-15
2024-07-22,325.4549865722656,332.8500061035156,344.5,303.04998779296875,312.95001220703125,5024359,2024-07-22
2024-07-29,318.95269775390625,326.20001220703125,352.75,318.3500061035156,333.04998779296875,6277549,2024-07-29
2024-08-05,293.23699951171875,299.8999938964844,324.5,299.0,321.79998779296875,3173603,2024-08-05
2024-08-12,299.5754089355469,304.8500061035156,317.0,291.04998779296875,301.8999938964844,4223968,2024-08-12
2024-08-19,328.3684387207031,334.1499938964844,348.20001220703125,299.45001220703125,306.6499938964844,17451758,2024-08-19
2024-08-26,311.8591613769531,317.3500061035156,339.0,311.0,336.75,3687104,2024-08-26
2024-09-02,306.1103515625,311.5,324.0,308.3999938964844,320.8999938964844,2836580,2024-09-02
2024-09-09,310.4342041015625,315.8999938964844,328.6499938964844,305.3500061035156,308.8500061035156,3783747,2024-09-09
2024-09-16,301.0494384765625,306.3500061035156,322.0,302.5,317.0,2691048,2024-09-16
2024-09-23,297.6100158691406,302.8500061035156,316.29998779296875,301.54998779296875,306.3999938964844,2764118,2024-09-23
2024-09-30,293.5318603515625,298.70001220703125,312.6499938964844,294.70001220703125,303.0,1770448,2024-09-30
2024-10-07,295.4480895996094,300.6499938964844,306.3500061035156,290.29998779296875,302.45001220703125,1675906,2024-10-07
2024-10-14,285.6211242675781,290.6499938964844,305.0,286.1499938964844,301.6000061035156,1431917,2024-10-14
2024-10-21,270.4384460449219,275.20001220703125,294.95001220703125,271.45001220703125,291.6000061035156,1822788,2024-10-21
