Date,Adj Close_JINDALSAW.NS,Close_JINDALSAW.NS,High_JINDALSAW.NS,Low_JINDALSAW.NS,Open_JINDALSAW.NS,Volume_JINDALSAW.NS,Date
2023-05-01,76.30560302734375,78.0,84.9000015258789,77.5999984741211,81.7750015258789,13572928,2023-05-01
2023-05-08,83.47148895263672,85.32499694824219,88.30000305175781,77.75,78.4749984741211,21595104,2023-05-08
2023-05-15,91.41999053955078,93.44999694824219,99.17500305175781,85.05000305175781,85.67500305175781,58473062,2023-05-15
2023-05-22,96.21354675292969,98.3499984741211,102.4000015258789,93.7750015258789,93.94999694824219,31568046,2023-05-22
2023-05-29,120.8416748046875,123.5250015258789,126.94999694824219,95.5,98.5,94221062,2023-05-29
2023-06-05,117.83346557617188,120.44999694824219,126.5,113.5,124.1500015258789,18628064,2023-06-05
2023-06-12,115.4122314453125,117.9749984741211,125.4749984741211,116.0,120.5999984741211,11158442,2023-06-12
2023-06-19,114.0649642944336,115.125,121.5999984741211,114.1500015258789,117.94999694824219,7792836,2023-06-19
2023-06-26,126.7718734741211,127.94999694824219,132.1999969482422,115.55000305175781,115.7750015258789,14913012,2023-06-26
2023-07-03,141.65853881835938,142.97500610351562,144.1999969482422,128.52499389648438,128.5500030517578,16180956,2023-07-03
2023-07-10,156.66903686523438,158.125,168.0500030517578,142.64999389648438,142.97500610351562,18926306,2023-07-10
2023-07-17,188.39915466308594,190.14999389648438,191.75,158.47500610351562,158.72500610351562,27322688,2023-07-17
2023-07-24,161.3257598876953,162.8249969482422,192.25,157.5,190.14999389648438,17753888,2023-07-24
2023-07-31,159.3937225341797,160.875,171.14999389648438,150.14999389648438,162.8249969482422,18091734,2023-07-31
2023-08-07,168.75669860839844,170.3249969482422,176.60000610351562,157.5749969482422,160.97500610351562,11414036,2023-08-07
2023-08-14,158.4276885986328,159.89999389648438,175.0,157.625,175.0,5669498,2023-08-14
2023-08-21,154.53883361816406,155.97500610351562,167.1750030517578,151.22500610351562,160.39999389648438,7750524,2023-08-21
2023-08-28,178.6894073486328,180.35000610351562,186.4499969482422,153.77499389648438,157.22500610351562,13235372,2023-08-28
2023-09-04,184.26260375976562,185.97500610351562,190.6999969482422,177.75,182.0,9469294,2023-09-04
2023-09-11,183.19749450683594,184.89999389648438,195.5,154.75,186.89999389648438,15468834,2023-09-11
2023-09-18,171.4566192626953,173.0500030517578,185.52499389648438,170.02499389648438,184.52499389648438,4079038,2023-09-18
2023-09-25,171.70431518554688,173.3000030517578,179.9250030517578,172.125,173.9250030517578,4325846,2023-09-25
2023-10-02,171.06028747558594,172.64999389648438,186.64999389648438,168.5500030517578,173.3000030517578,6049580,2023-10-02
2023-10-09,179.01141357421875,180.6750030517578,183.1750030517578,164.27499389648438,171.625,7253606,2023-10-09
2023-10-16,196.74658203125,198.5749969482422,202.5,180.6750030517578,181.6750030517578,16893458,2023-10-16
2023-10-23,189.9596710205078,191.72500610351562,205.0,165.0,198.5749969482422,22686686,2023-10-23
