Date,Adj Close_PARAGMILK.NS,Close_PARAGMILK.NS,High_PARAGMILK.NS,Low_PARAGMILK.NS,Open_PARAGMILK.NS,Volume_PARAGMILK.NS,Date
2024-05-20,177.28524780273438,177.75,216.25,174.8000030517578,216.25,11000621,2024-05-20
2024-05-27,168.4583740234375,168.89999389648438,179.85000610351562,165.25,177.9499969482422,3555284,2024-05-27
2024-06-03,182.2721710205078,182.75,185.8000030517578,149.8000030517578,173.0,5819358,2024-06-03
2024-06-10,183.95774841308594,184.44000244140625,187.0,181.0500030517578,183.0,3271883,2024-06-10
2024-06-17,180.84591674804688,181.32000732421875,189.3800048828125,180.24000549316406,184.44000244140625,2356917,2024-06-17
2024-06-24,174.73193359375,175.19000244140625,186.5500030517578,173.0,181.97000122070312,2788681,2024-06-24
2024-07-01,180.46690368652344,180.94000244140625,184.60000610351562,173.5,175.8000030517578,2789968,2024-07-01
2024-07-08,178.74142456054688,179.2100067138672,182.6999969482422,176.0,181.0,1960336,2024-07-08
2024-07-15,194.3106231689453,194.82000732421875,207.0,179.0,180.0,15161660,2024-07-15
2024-07-22,198.36000061035156,198.8800048828125,211.97999572753906,185.0,193.85000610351562,11516632,2024-07-22
2024-07-29,196.29541015625,196.80999755859375,203.99000549316406,194.0,200.33999633789062,5160723,2024-07-29
2024-08-05,184.496337890625,184.97999572753906,193.5,182.00999450683594,191.6199951171875,2763579,2024-08-05
2024-08-12,195.55734252929688,196.07000732421875,204.9499969482422,184.60000610351562,185.0,5769195,2024-08-12
2024-08-19,194.89906311035156,195.41000366210938,201.64999389648438,192.5,197.08999633789062,2767362,2024-08-19
2024-08-26,190.3509979248047,190.85000610351562,201.60000610351562,190.11000061035156,196.61000061035156,2385353,2024-08-26
2024-09-02,186.50108337402344,186.99000549316406,194.3000030517578,186.30999755859375,191.97999572753906,1707536,2024-09-02
2024-09-09,186.5,186.5,191.50999450683594,182.64999389648438,186.0,1566618,2024-09-09
2024-09-16,176.94000244140625,176.94000244140625,188.10000610351562,174.00999450683594,187.3000030517578,1787867,2024-09-16
2024-09-23,191.75,191.75,194.89999389648438,176.9499969482422,178.0,5038761,2024-09-23
2024-09-30,205.11000061035156,205.11000061035156,219.3000030517578,190.5399932861328,191.5800018310547,18319974,2024-09-30
2024-10-07,227.2899932861328,227.2899932861328,228.6999969482422,192.2100067138672,205.1999969482422,22139719,2024-10-07
2024-10-14,221.38999938964844,221.38999938964844,236.6999969482422,211.3800048828125,229.5500030517578,14463532,2024-10-14
2024-10-21,192.6699981689453,192.6699981689453,223.58999633789062,190.89999389648438,222.5,7807823,2024-10-21
2024-10-28,208.19000244140625,208.19000244140625,209.64999389648438,190.00999450683594,195.5,4707762,2024-10-28
2024-11-04,213.25,213.25,223.55999755859375,195.00999450683594,209.0,9358717,2024-11-04
2024-11-11,205.5500030517578,205.5500030517578,224.9499969482422,201.4499969482422,213.64999389648438,6307525,2024-11-11
2024-11-18,200.5500030517578,200.5500030517578,209.1999969482422,195.97000122070312,205.0,2725259,2024-11-18
2024-11-25,207.11000061035156,207.11000061035156,212.0,201.0,205.99000549316406,3845780,2024-11-25
2024-12-02,215.25999450683594,215.25999450683594,219.6999969482422,207.2100067138672,208.39999389648438,5398008,2024-12-02
2024-12-09,207.19000244140625,207.19000244140625,219.89999389648438,203.6300048828125,216.0500030517578,4130991,2024-12-09
2024-12-16,194.82000732421875,194.82000732421875,211.8000030517578,192.1999969482422,207.25,3195472,2024-12-16
2024-12-23,185.6300048828125,185.6300048828125,197.5399932861328,183.0500030517578,197.0,2274641,2024-12-23
2024-12-30,187.58999633789062,187.58999633789062,192.5,182.0,185.89999389648438,1859090,2024-12-30
2025-01-06,175.3300018310547,175.3300018310547,188.16000366210938,175.0,188.0,2450177,2025-01-06
