Date,Adj Close_WEL.NS,Close_WEL.NS,High_WEL.NS,Low_WEL.NS,Open_WEL.NS,Volume_WEL.NS,Date
2024-01-22,34.15699005126953,34.17499923706055,37.79499816894531,32.71500015258789,34.09000015258789,320320,2024-01-22
2024-01-29,30.813751220703125,30.829999923706055,34.67499923706055,30.5,34.67499923706055,153970,2024-01-29
2024-02-05,32.11806106567383,32.1349983215332,35.900001525878906,30.700000762939453,31.06999969482422,170600,2024-02-05
2024-02-12,34.35688400268555,34.375,35.599998474121094,30.299999237060547,34.0,193340,2024-02-12
2024-02-19,37.120426177978516,37.13999938964844,37.13999938964844,32.79999923706055,34.5,268640,2024-02-19
2024-02-26,49.10410690307617,49.130001068115234,49.4900016784668,37.27000045776367,38.79999923706055,2379630,2024-02-26
2024-03-04,53.52177810668945,53.54999923706055,56.79999923706055,49.119998931884766,53.79999923706055,1736950,2024-03-04
2024-03-11,49.8287239074707,49.85499954223633,55.39500045776367,44.33000183105469,55.39500045776367,398300,2024-03-11
2024-03-18,59.48863220214844,59.52000045776367,59.52000045776367,49.61000061035156,51.9900016784668,492300,2024-03-18
2024-03-25,68.18904113769531,68.2249984741211,68.8949966430664,59.52000045776367,59.52000045776367,604650,2024-03-25
2024-04-01,80.977294921875,81.0199966430664,86.29000091552734,65.5,68.27999877929688,1169290,2024-04-01
2024-04-08,88.23347473144531,88.27999877929688,93.25,79.05999755859375,82.0,1057760,2024-04-08
2024-04-15,98.3431396484375,98.3949966430664,101.69499969482422,83.87000274658203,83.87000274658203,2449080,2024-04-15
2024-04-22,125.11402893066406,125.18000030517578,125.19000244140625,98.49500274658203,99.3949966430664,1232060,2024-04-22
2024-04-29,112.6406021118164,112.69999694824219,127.98999786376953,101.97000122070312,122.58000183105469,335980,2024-04-29
2024-05-06,103.84524536132812,103.9000015258789,121.80000305175781,103.9000015258789,115.5999984741211,711520,2024-05-06
2024-05-13,103.06565856933594,103.12000274658203,103.9000015258789,89.08499908447266,103.9000015258789,401480,2024-05-13
2024-05-20,102.99069213867188,103.04499816894531,118.0,98.01000213623047,98.20999908447266,406720,2024-05-20
2024-05-27,97.00884246826172,97.05999755859375,108.0250015258789,95.5,99.91000366210938,320540,2024-05-27
2024-06-03,96.82894134521484,96.87999725341797,99.38999938964844,85.19999694824219,92.40499877929688,259070,2024-06-03
2024-06-10,93.59065246582031,93.63999938964844,97.98500061035156,91.0999984741211,93.12000274658203,207040,2024-06-10
2024-06-17,93.30580139160156,93.3550033569336,95.80000305175781,90.0,93.63999938964844,125990,2024-06-17
2024-06-24,92.29633331298828,92.34500122070312,96.69999694824219,86.61000061035156,96.69999694824219,130620,2024-06-24
2024-07-01,102.82078552246094,102.875,102.875,92.34500122070312,92.9000015258789,385320,2024-07-01
2024-07-08,120.36653137207031,120.43000030517578,127.0,102.9000015258789,102.9000015258789,537980,2024-07-08
2024-07-15,123.0251235961914,123.08999633789062,125.97000122070312,114.41000366210938,117.01000213623047,909230,2024-07-15
2024-07-22,122.8652114868164,122.93000030517578,127.0,117.12000274658203,124.7699966430664,1607870,2024-07-22
2024-07-29,137.25762939453125,137.3300018310547,137.6999969482422,121.0,123.0,3511860,2024-07-29
2024-08-05,151.40016174316406,151.47999572753906,154.57000732421875,130.46499633789062,137.3249969482422,3754440,2024-08-05
2024-08-12,144.5687713623047,144.64500427246094,160.88999938964844,143.02999877929688,151.40499877929688,2509900,2024-08-12
2024-08-19,146.3278350830078,146.40499877929688,161.99000549316406,145.1999969482422,149.98500061035156,5301250,2024-08-19
2024-08-26,143.50433349609375,143.5800018310547,152.3350067138672,135.0,152.3350067138672,8767610,2024-08-26
2024-09-02,135.36361694335938,135.43499755859375,145.17999267578125,134.5050048828125,145.0,1881790,2024-09-02
2024-09-09,135.3186492919922,135.38999938964844,143.05999755859375,131.0,131.72999572753906,1994450,2024-09-09
2024-09-16,152.62452697753906,152.7050018310547,152.71499633789062,133.0050048828125,138.0,3845340,2024-09-16
2024-09-23,150.53062438964844,150.61000061035156,156.89999389648438,141.13499450683594,152.5,2874690,2024-09-23
2024-09-30,142.74972534179688,142.8249969482422,152.5,132.0,152.49000549316406,1365390,2024-09-30
2024-10-07,153.42410278320312,153.5050048828125,156.5,128.61500549316406,144.9949951171875,2920640,2024-10-07
2024-10-14,152.8993682861328,152.97999572753906,159.89999389648438,145.89999389648438,156.99000549316406,2311360,2024-10-14
2024-10-21,147.6521453857422,147.72999572753906,155.9949951171875,141.90499877929688,154.9949951171875,865430,2024-10-21
2024-10-28,150.61558532714844,150.69500732421875,162.49000549316406,142.00999450683594,145.3000030517578,1174500,2024-10-28
2024-11-04,157.62689208984375,157.7100067138672,164.48500061035156,148.35499572753906,151.4949951171875,4035220,2024-11-04
2024-11-11,133.8294219970703,133.89999389648438,168.0,126.75,160.0,2515959,2024-11-11
2024-11-18,127.73265075683594,127.80000305175781,138.5,120.94999694824219,136.60000610351562,935295,2024-11-18
2024-11-25,134.47909545898438,134.5500030517578,142.89999389648438,127.9000015258789,129.89999389648438,1044613,2024-11-25
2024-12-02,158.35650634765625,158.44000244140625,161.61000061035156,129.60000610351562,134.4499969482422,2266247,2024-12-02
2024-12-09,158.9661865234375,159.0500030517578,172.1999969482422,156.5,160.0,3208282,2024-12-09
2024-12-16,158.7662811279297,158.85000610351562,167.39999389648438,155.10000610351562,157.0,2691291,2024-12-16
2024-12-23,166.3922576904297,166.47999572753906,174.6999969482422,153.6699981689453,161.0,2778133,2024-12-23
2024-12-30,152.95933532714844,153.0399932861328,172.99000549316406,151.97999572753906,167.0,2961788,2024-12-30
2025-01-06,159.4459228515625,159.52999877929688,164.0,150.27000427246094,157.69000244140625,1756724,2025-01-06
2025-01-13,180.35488891601562,180.4499969482422,183.35000610351562,147.1999969482422,160.0,4279564,2025-01-13
2025-01-20,170.4301300048828,170.52000427246094,187.85000610351562,168.0,184.47999572753906,3033581,2025-01-20
2025-01-27,178.85568237304688,178.9499969482422,186.8000030517578,160.14999389648438,170.0,2829893,2025-01-27
2025-02-03,198.07554626464844,198.17999267578125,198.99000549316406,172.0,181.89999389648438,2927122,2025-02-03
2025-02-10,190.5,190.5,200.0,186.00999450683594,199.89999389648438,2313168,2025-02-10
2025-02-17,184.86000061035156,184.86000061035156,188.89999389648438,153.5500030517578,188.2899932861328,2492861,2025-02-17
2025-02-24,177.5399932861328,177.5399932861328,191.7899932861328,171.52999877929688,183.0,962211,2025-02-24
2025-03-03,184.0500030517578,184.0500030517578,192.0,167.10000610351562,180.0,1272981,2025-03-03
2025-03-10,183.5500030517578,183.5500030517578,191.5,175.0,191.5,667939,2025-03-10
2025-03-17,172.50999450683594,172.50999450683594,187.0,170.0,183.60000610351562,556855,2025-03-17
2025-03-24,171.3000030517578,171.3000030517578,176.5,167.0,172.50999450683594,923682,2025-03-24
2025-03-31,165.2100067138672,165.2100067138672,176.0,161.0,171.3000030517578,401971,2025-03-31
2025-04-07,162.25999450683594,162.25999450683594,167.57000732421875,147.72999572753906,158.0,410891,2025-04-07
2025-04-14,173.1300048828125,173.1300048828125,176.9199981689453,163.0,163.0,290863,2025-04-14
2025-04-21,164.9600067138672,164.9600067138672,179.99000549316406,163.64999389648438,174.86000061035156,319617,2025-04-21
2025-04-28,158.0800018310547,158.0800018310547,167.2100067138672,153.85000610351562,165.50999450683594,305566,2025-04-28
2025-05-05,151.0500030517578,151.0500030517578,161.2899932861328,150.0,157.16000366210938,482447,2025-05-05
