Date,Adj Close_HONDAPOWER.NS,Close_HONDAPOWER.NS,High_HONDAPOWER.NS,Low_HONDAPOWER.NS,Open_HONDAPOWER.NS,Volume_HONDAPOWER.NS,Date
2022-11-28,2592.50244140625,2636.60009765625,2719.0,2553.050048828125,2575.0,207833,2022-11-28
2022-12-05,2518.95361328125,2561.800048828125,2918.0,2510.050048828125,2659.85009765625,284382,2022-12-05
2022-12-12,2558.923583984375,2602.449951171875,2742.699951171875,2510.10009765625,2564.800048828125,156717,2022-12-12
2022-12-19,2050.07861328125,2084.949951171875,2640.0,2060.0,2640.0,231279,2022-12-19
2022-12-26,2187.3935546875,2224.60009765625,2270.0,2061.10009765625,2084.0,96353,2022-12-26
2023-01-02,2109.468505859375,2145.35009765625,2288.949951171875,2101.199951171875,2249.89990234375,80522,2023-01-02
2023-01-09,2291.81689453125,2330.800048828125,2522.89990234375,2158.25,2180.0,291805,2023-01-09
2023-01-16,2164.974365234375,2201.800048828125,2417.75,2166.199951171875,2330.800048828125,116391,2023-01-16
2023-01-23,1996.1954345703125,2030.1500244140625,2274.39990234375,1950.0,2274.39990234375,128391,2023-01-23
2023-01-30,2023.72705078125,2058.14990234375,2130.0,2002.550048828125,2012.050048828125,56833,2023-01-30
2023-02-06,2074.5625,2109.85009765625,2235.0,2061.10009765625,2068.449951171875,121630,2023-02-06
2023-02-13,1945.8516845703125,1978.949951171875,2133.10009765625,1967.449951171875,2112.0,98885,2023-02-13
2023-02-20,1811.43798828125,1842.25,1988.8499755859375,1822.25,1978.949951171875,103256,2023-02-20
2023-02-27,1988.6241455078125,2022.449951171875,2048.949951171875,1791.0,1835.3499755859375,121925,2023-02-27
2023-03-06,1941.082763671875,1974.0999755859375,2087.0,1961.5,2025.25,79666,2023-03-06
2023-03-13,1868.66455078125,1900.449951171875,1965.050048828125,1875.050048828125,1965.0,100847,2023-03-13
2023-03-20,1955.6353759765625,1988.9000244140625,2025.0,1825.0,1900.6500244140625,137755,2023-03-20
2023-03-27,1980.5120849609375,2014.199951171875,2064.64990234375,1908.0,1988.8499755859375,69092,2023-03-27
2023-04-03,2098.013427734375,2133.699951171875,2171.949951171875,1993.5999755859375,2000.0,76086,2023-04-03
2023-04-10,2109.812744140625,2145.699951171875,2198.0,2091.64990234375,2133.699951171875,59265,2023-04-10
2023-04-17,2226.23291015625,2264.10009765625,2412.800048828125,2065.0,2163.0,155740,2023-04-17
2023-04-24,2425.591552734375,2466.85009765625,2500.0,2232.449951171875,2244.0,98616,2023-04-24
2023-05-01,2406.860107421875,2447.800048828125,2550.0,2432.14990234375,2466.85009765625,48326,2023-05-01
2023-05-08,2422.9365234375,2464.14990234375,2589.85009765625,2415.10009765625,2459.949951171875,49743,2023-05-08
2023-05-15,2312.26904296875,2351.60009765625,2390.0,2200.0,2290.25,150389,2023-05-15
2023-05-22,2223.72509765625,2261.550048828125,2364.800048828125,2253.550048828125,2363.39990234375,32454,2023-05-22
2023-05-29,2107.0595703125,2142.89990234375,2304.949951171875,2120.25,2272.89990234375,54565,2023-05-29
2023-06-05,2114.679931640625,2150.64990234375,2210.0,2126.10009765625,2170.0,36668,2023-06-05
2023-06-12,2152.78173828125,2189.39990234375,2203.0,2102.10009765625,2161.449951171875,47878,2023-06-12
2023-06-19,2159.074951171875,2195.800048828125,2222.0,2161.050048828125,2200.35009765625,34236,2023-06-19
2023-06-26,2191.81787109375,2229.10009765625,2265.050048828125,2165.0,2177.60009765625,39166,2023-06-26
2023-07-03,2151.503662109375,2188.10009765625,2232.949951171875,2117.949951171875,2219.949951171875,24404,2023-07-03
2023-07-10,2130.8056640625,2167.050048828125,2208.800048828125,2140.14990234375,2208.800048828125,19793,2023-07-10
2023-07-17,2119.6455078125,2155.699951171875,2197.949951171875,2140.10009765625,2167.0,21463,2023-07-17
