Date,Adj Close_MARINE.NS,Close_MARINE.NS,High_MARINE.NS,Low_MARINE.NS,Open_MARINE.NS,Volume_MARINE.NS,Date
2023-11-13,82.42922973632812,82.5,86.0,81.0,84.5999984741211,804964,2023-11-13
2023-11-20,94.56880950927734,94.6500015258789,97.19999694824219,83.5999984741211,85.19999694824219,2294645,2023-11-20
2023-11-27,91.17172241210938,91.25,95.8499984741211,89.0999984741211,94.6500015258789,897500,2023-11-27
2023-12-04,96.16743469238281,96.25,96.30000305175781,84.19999694824219,94.0,1600718,2023-12-04
2023-12-11,93.71953582763672,93.80000305175781,100.80000305175781,93.05000305175781,96.5,1340176,2023-12-11
2023-12-18,97.66614532470703,97.75,97.75,84.30000305175781,94.5999984741211,1402714,2023-12-18
2023-12-25,101.5128402709961,101.5999984741211,102.5999984741211,95.0,97.75,1369377,2023-12-25
2024-01-01,99.46460723876953,99.55000305175781,105.0,98.30000305175781,105.0,954543,2024-01-01
2024-01-08,97.96589660644531,98.05000305175781,103.0,96.5,99.94999694824219,841716,2024-01-08
2024-01-15,95.76777648925781,95.8499984741211,98.05000305175781,88.3499984741211,98.05000305175781,1106053,2024-01-15
2024-01-22,98.11576080322266,98.19999694824219,99.4000015258789,92.5999984741211,95.8499984741211,647844,2024-01-22
2024-01-29,114.45173645019531,114.55000305175781,116.9000015258789,96.0,100.0,2795985,2024-01-29
2024-02-05,111.50426483154297,111.5999984741211,122.9000015258789,107.55000305175781,118.9000015258789,1818914,2024-02-05
2024-02-12,103.91078186035156,104.0,113.0999984741211,95.19999694824219,113.0999984741211,2462213,2024-02-12
2024-02-19,112.40349578857422,112.5,119.9000015258789,106.0999984741211,109.19999694824219,2512423,2024-02-19
2024-02-26,106.35868072509766,106.44999694824219,116.0,104.5,112.0,1334316,2024-02-26
2024-03-04,103.41121673583984,103.5,110.5,101.19999694824219,108.5999984741211,1050787,2024-03-04
2024-03-11,89.32331085205078,89.4000015258789,104.5,84.75,104.5,1684492,2024-03-11
2024-03-18,90.37240600585938,90.44999694824219,95.75,87.19999694824219,91.0,870385,2024-03-18
2024-03-25,90.12261962890625,90.19999694824219,92.44999694824219,85.69999694824219,90.44999694824219,847011,2024-03-25
2024-04-01,103.3113021850586,103.4000015258789,109.0,91.94999694824219,93.94999694824219,1541843,2024-04-01
2024-04-08,94.96846771240234,95.05000305175781,106.5,94.5,102.6500015258789,856338,2024-04-08
2024-04-15,92.62047576904297,92.69999694824219,98.80000305175781,91.0,91.30000305175781,854895,2024-04-15
2024-04-22,106.80829620361328,106.9000015258789,106.9000015258789,93.75,94.55000305175781,1213597,2024-04-22
2024-04-29,101.81259155273438,101.9000015258789,112.19999694824219,100.0,112.19999694824219,1737769,2024-04-29
2024-05-06,89.82288360595703,89.9000015258789,104.0999984741211,88.8499984741211,103.5,1285430,2024-05-06
2024-05-13,103.21138763427734,103.30000305175781,103.55000305175781,89.5,92.0,1365250,2024-05-13
2024-05-20,103.06151580810547,103.1500015258789,113.0,98.6500015258789,98.6500015258789,1899453,2024-05-20
2024-05-27,109.5059814453125,109.5999984741211,109.5999984741211,98.0,104.5,1125641,2024-05-27
2024-06-03,108.60675048828125,108.69999694824219,115.05000305175781,97.4000015258789,115.05000305175781,3914854,2024-06-03
2024-06-10,146.97381591796875,147.10000610351562,147.10000610351562,106.38999938964844,112.0,9397943,2024-06-10
2024-06-17,146.22445678710938,146.35000610351562,169.89999389648438,146.35000610351562,147.10000610351562,6734752,2024-06-17
2024-06-24,156.0160369873047,156.14999389648438,164.8000030517578,147.2100067138672,149.75,2812965,2024-06-24
2024-07-01,187.6588897705078,187.82000732421875,187.82000732421875,155.0500030517578,161.5,5235176,2024-07-01
2024-07-08,239.49436950683594,239.6999969482422,239.6999969482422,194.02000427246094,197.2100067138672,4134422,2024-07-08
2024-07-15,263.3638916015625,263.5899963378906,277.4700012207031,251.67999267578125,251.67999267578125,3268028,2024-07-15
2024-07-22,246.96795654296875,247.17999267578125,276.07000732421875,237.8800048828125,250.41000366210938,4956629,2024-07-22
2024-07-29,282.60736083984375,282.8500061035156,287.0,226.83999633789062,253.6999969482422,2997608,2024-07-29
2024-08-05,295.24652099609375,295.5,295.5,242.5500030517578,268.70001220703125,2774469,2024-08-05
2024-08-12,265.6719055175781,265.8999938964844,308.0,260.20001220703125,295.5,2199443,2024-08-12
