Date,Adj Close_SAKAR.NS,Close_SAKAR.NS,High_SAKAR.NS,Low_SAKAR.NS,Open_SAKAR.NS,Volume_SAKAR.NS,Date
2023-02-13,228.6999969482422,228.6999969482422,238.0,224.85000610351562,230.64999389648438,66015,2023-02-13
2023-02-20,233.14999389648438,233.14999389648438,258.0,222.39999389648438,229.60000610351562,154702,2023-02-20
2023-02-27,234.60000610351562,234.60000610351562,245.0,223.1999969482422,234.85000610351562,86943,2023-02-27
2023-03-06,239.5500030517578,239.5500030517578,245.0,231.0500030517578,244.39999389648438,104597,2023-03-06
2023-03-13,220.85000610351562,220.85000610351562,239.5500030517578,215.0,239.5500030517578,97968,2023-03-13
2023-03-20,211.64999389648438,211.64999389648438,225.0,208.10000610351562,220.9499969482422,72964,2023-03-20
2023-03-27,200.60000610351562,200.60000610351562,212.5,191.3000030517578,211.64999389648438,143615,2023-03-27
2023-04-03,222.8000030517578,222.8000030517578,226.4499969482422,197.0,197.0,47733,2023-04-03
2023-04-10,217.60000610351562,217.60000610351562,227.6999969482422,212.0500030517578,224.75,39455,2023-04-10
2023-04-17,218.1999969482422,218.1999969482422,227.10000610351562,216.10000610351562,218.6999969482422,73062,2023-04-17
2023-04-24,216.5500030517578,216.5500030517578,218.60000610351562,211.60000610351562,218.1999969482422,47120,2023-04-24
2023-05-01,216.89999389648438,216.89999389648438,228.0,210.0,216.5500030517578,51122,2023-05-01
2023-05-08,243.5,243.5,246.0,215.1999969482422,220.14999389648438,93508,2023-05-08
2023-05-15,259.0,259.0,265.0,235.0,246.9499969482422,254206,2023-05-15
2023-05-22,248.85000610351562,248.85000610351562,266.6000061035156,243.4499969482422,255.0,198645,2023-05-22
2023-05-29,276.3999938964844,276.3999938964844,287.0,230.0500030517578,248.85000610351562,440351,2023-05-29
2023-06-05,256.8500061035156,256.8500061035156,279.1499938964844,247.10000610351562,277.3999938964844,142140,2023-06-05
2023-06-12,257.54998779296875,257.54998779296875,278.75,250.5,259.3500061035156,157097,2023-06-12
2023-06-19,255.35000610351562,255.35000610351562,269.8500061035156,253.10000610351562,256.1000061035156,123173,2023-06-19
2023-06-26,256.54998779296875,256.54998779296875,263.0,253.10000610351562,253.5,60058,2023-06-26
2023-07-03,249.9499969482422,249.9499969482422,269.0,247.0,261.3999938964844,238931,2023-07-03
2023-07-10,238.10000610351562,238.10000610351562,252.0,235.9499969482422,250.0,105699,2023-07-10
2023-07-17,259.1000061035156,259.1000061035156,279.0,236.0,236.0,436620,2023-07-17
2023-07-24,255.8000030517578,255.8000030517578,270.0,252.0,257.20001220703125,102835,2023-07-24
2023-07-31,324.6499938964844,324.6499938964844,324.6499938964844,249.10000610351562,255.89999389648438,489626,2023-07-31
2023-08-07,318.6499938964844,318.6499938964844,360.0,310.0,355.0,667797,2023-08-07
2023-08-14,321.3500061035156,321.3500061035156,334.95001220703125,304.6000061035156,319.8500061035156,147145,2023-08-14
2023-08-21,366.3999938964844,366.3999938964844,398.8999938964844,324.8500061035156,324.8500061035156,667133,2023-08-21
2023-08-28,352.45001220703125,352.45001220703125,376.79998779296875,350.0,369.0,110873,2023-08-28
2023-09-04,352.20001220703125,352.20001220703125,363.0,340.0,350.0,134699,2023-09-04
2023-09-11,326.0,326.0,359.95001220703125,314.1499938964844,359.95001220703125,125756,2023-09-11
2023-09-18,326.25,326.25,336.8999938964844,318.0,321.0,56620,2023-09-18
2023-09-25,340.3999938964844,340.3999938964844,372.79998779296875,312.70001220703125,328.8500061035156,342566,2023-09-25
2023-10-02,347.5,347.5,356.79998779296875,329.6499938964844,340.3999938964844,172333,2023-10-02
2023-10-09,364.3500061035156,364.3500061035156,386.25,336.54998779296875,347.1499938964844,309272,2023-10-09
2023-10-16,358.5,358.5,378.95001220703125,355.04998779296875,367.5,170276,2023-10-16
2023-10-23,336.45001220703125,336.45001220703125,370.45001220703125,316.04998779296875,362.8999938964844,137632,2023-10-23
2023-10-30,346.3999938964844,346.3999938964844,353.3999938964844,332.1499938964844,339.25,58405,2023-10-30
2023-11-06,389.45001220703125,389.45001220703125,398.6000061035156,346.3999938964844,346.3999938964844,316585,2023-11-06
2023-11-13,384.8500061035156,384.8500061035156,410.0,381.0,398.6000061035156,173294,2023-11-13
2023-11-20,393.70001220703125,393.70001220703125,419.5,367.70001220703125,385.04998779296875,287516,2023-11-20
2023-11-27,388.6000061035156,388.6000061035156,403.0,386.6499938964844,393.70001220703125,110568,2023-11-27
2023-12-04,376.3999938964844,376.3999938964844,396.6499938964844,369.04998779296875,396.5,139561,2023-12-04
2023-12-11,370.70001220703125,370.70001220703125,381.95001220703125,367.0,376.3999938964844,62530,2023-12-11
2023-12-18,369.20001220703125,369.20001220703125,378.95001220703125,351.0,372.6000061035156,90696,2023-12-18
2023-12-25,400.04998779296875,400.04998779296875,428.0,369.20001220703125,369.20001220703125,255367,2023-12-25
2024-01-01,406.95001220703125,406.95001220703125,433.75,400.0,402.0,142218,2024-01-01
2024-01-08,410.54998779296875,410.54998779296875,435.0,395.20001220703125,412.0,209427,2024-01-08
2024-01-15,424.0,424.0,450.0,404.5,410.54998779296875,218260,2024-01-15
2024-01-22,439.29998779296875,439.29998779296875,479.0,410.75,424.0,441309,2024-01-22
2024-01-29,419.25,419.25,446.5,415.0,442.20001220703125,155844,2024-01-29
2024-02-05,428.04998779296875,428.04998779296875,437.45001220703125,404.6000061035156,417.1499938964844,125550,2024-02-05
2024-02-12,408.3999938964844,408.3999938964844,420.0,374.8999938964844,420.0,212869,2024-02-12
2024-02-19,389.8500061035156,389.8500061035156,413.3999938964844,383.0,410.3999938964844,81747,2024-02-19
2024-02-26,375.95001220703125,375.95001220703125,395.70001220703125,365.54998779296875,395.70001220703125,92339,2024-02-26
2024-03-04,402.25,402.25,418.0,365.95001220703125,378.0,442763,2024-03-04
2024-03-11,358.20001220703125,358.20001220703125,408.0,329.0,404.29998779296875,237630,2024-03-11
2024-03-18,365.70001220703125,365.70001220703125,368.95001220703125,351.04998779296875,354.6000061035156,50124,2024-03-18
2024-03-25,368.29998779296875,368.29998779296875,376.6499938964844,358.1499938964844,367.5,83898,2024-03-25
2024-04-01,369.1499938964844,369.1499938964844,379.79998779296875,365.0,370.0,54601,2024-04-01
2024-04-08,362.20001220703125,362.20001220703125,385.0,360.0,371.54998779296875,39535,2024-04-08
2024-04-15,358.3500061035156,358.3500061035156,380.79998779296875,348.54998779296875,362.20001220703125,48660,2024-04-15
2024-04-22,355.45001220703125,355.45001220703125,371.3999938964844,347.6499938964844,351.0,83814,2024-04-22
2024-04-29,348.3999938964844,348.3999938964844,360.3999938964844,346.70001220703125,356.0,46959,2024-04-29
2024-05-06,341.0,341.0,370.0,330.95001220703125,350.1000061035156,173342,2024-05-06
2024-05-13,345.6000061035156,345.6000061035156,359.95001220703125,341.3500061035156,343.95001220703125,45670,2024-05-13
2024-05-20,342.8999938964844,342.8999938964844,368.0,336.3500061035156,345.6000061035156,57842,2024-05-20
2024-05-27,331.54998779296875,331.54998779296875,350.0,320.0,350.0,79120,2024-05-27
2024-06-03,323.3999938964844,323.3999938964844,346.20001220703125,295.1499938964844,334.0,130081,2024-06-03
2024-06-10,330.8999938964844,330.8999938964844,337.54998779296875,318.20001220703125,325.0,73618,2024-06-10
2024-06-17,313.29998779296875,313.29998779296875,331.79998779296875,305.5,330.8999938964844,116134,2024-06-17
2024-06-24,314.3500061035156,314.3500061035156,320.95001220703125,310.0,313.29998779296875,94684,2024-06-24
2024-07-01,317.6000061035156,317.6000061035156,330.0,310.6000061035156,311.5,94491,2024-07-01
2024-07-08,333.8999938964844,333.8999938964844,363.70001220703125,314.1000061035156,321.0,457856,2024-07-08
2024-07-15,332.5,332.5,374.5,327.5,336.0,163451,2024-07-15
2024-07-22,328.45001220703125,328.45001220703125,345.29998779296875,321.0,326.5,72422,2024-07-22
