Date,Adj Close_PALASHSECU.NS,Close_PALASHSECU.NS,High_PALASHSECU.NS,Low_PALASHSECU.NS,Open_PALASHSECU.NS,Volume_PALASHSECU.NS,Date
2024-03-25,118.05000305175781,118.05000305175781,124.94999694824219,117.0,120.55000305175781,82902,2024-03-25
2024-04-01,131.75,131.75,140.9499969482422,118.55000305175781,120.0,116158,2024-04-01
2024-04-08,130.10000610351562,130.10000610351562,139.0,127.6500015258789,131.9499969482422,58346,2024-04-08
2024-04-15,125.25,125.25,137.9499969482422,124.30000305175781,137.9499969482422,34085,2024-04-15
2024-04-22,133.6999969482422,133.6999969482422,150.3000030517578,125.5,125.55000305175781,563430,2024-04-22
2024-04-29,134.60000610351562,134.60000610351562,144.9499969482422,131.0,137.0500030517578,92119,2024-04-29
2024-05-06,132.9499969482422,132.9499969482422,143.85000610351562,127.0999984741211,134.75,89307,2024-05-06
2024-05-13,136.39999389648438,136.39999389648438,141.85000610351562,129.25,131.0,37391,2024-05-13
2024-05-20,135.10000610351562,135.10000610351562,146.0,131.0,135.75,104028,2024-05-20
2024-05-27,133.39999389648438,133.39999389648438,139.89999389648438,131.10000610351562,136.6999969482422,31240,2024-05-27
2024-06-03,134.6999969482422,134.6999969482422,141.5,113.8499984741211,133.5,62003,2024-06-03
2024-06-10,135.17999267578125,135.17999267578125,138.5,131.3000030517578,136.13999938964844,39478,2024-06-10
2024-06-17,140.86000061035156,140.86000061035156,144.8000030517578,133.3300018310547,135.17999267578125,55839,2024-06-17
2024-06-24,139.94000244140625,139.94000244140625,145.02000427246094,135.0,144.0,67638,2024-06-24
2024-07-01,141.2100067138672,141.2100067138672,146.60000610351562,135.25,146.60000610351562,57933,2024-07-01
2024-07-08,139.17999267578125,139.17999267578125,142.67999267578125,135.72000122070312,138.1999969482422,30279,2024-07-08
2024-07-15,136.1300048828125,136.1300048828125,142.5800018310547,135.02000427246094,139.22000122070312,20149,2024-07-15
2024-07-22,137.86000061035156,137.86000061035156,139.5,130.35000610351562,139.5,260998,2024-07-22
2024-07-29,138.69000244140625,138.69000244140625,142.60000610351562,134.08999633789062,140.0,31995,2024-07-29
2024-08-05,135.22999572753906,135.22999572753906,138.97000122070312,130.0,135.00999450683594,20438,2024-08-05
2024-08-12,130.1999969482422,130.1999969482422,139.75,128.52000427246094,135.00999450683594,14339,2024-08-12
2024-08-19,149.17999267578125,149.17999267578125,182.8000030517578,129.0500030517578,137.0,907049,2024-08-19
2024-08-26,150.91000366210938,150.91000366210938,173.0,143.39999389648438,147.0,705270,2024-08-26
2024-09-02,149.91000366210938,149.91000366210938,156.0,145.11000061035156,153.14999389648438,67287,2024-09-02
2024-09-09,144.92999267578125,144.92999267578125,154.9499969482422,142.22999572753906,154.86000061035156,68123,2024-09-09
2024-09-16,142.22000122070312,142.22000122070312,148.77999877929688,139.75,143.1999969482422,67031,2024-09-16
2024-09-23,143.9499969482422,143.9499969482422,148.6999969482422,140.30999755859375,143.74000549316406,21084,2024-09-23
2024-09-30,146.77999877929688,146.77999877929688,169.44000244140625,139.3000030517578,144.11000061035156,494572,2024-09-30
2024-10-07,144.5,144.5,159.0,131.35000610351562,150.1999969482422,614088,2024-10-07
2024-10-14,167.22999572753906,167.22999572753906,177.0,144.91000366210938,144.9499969482422,569860,2024-10-14
2024-10-21,143.7899932861328,143.7899932861328,181.5,142.10000610351562,165.0,523600,2024-10-21
2024-10-28,188.69000244140625,188.69000244140625,198.6999969482422,143.0,145.0,1147788,2024-10-28
2024-11-04,165.66000366210938,165.66000366210938,184.88999938964844,157.19000244140625,184.6699981689453,272999,2024-11-04
2024-11-11,157.38999938964844,157.38999938964844,179.99000549316406,155.22000122070312,172.8000030517578,122111,2024-11-11
2024-11-18,162.0800018310547,162.0800018310547,169.0,156.0,160.0,64801,2024-11-18
2024-11-25,172.17999267578125,172.17999267578125,176.64999389648438,159.36000061035156,162.9499969482422,105729,2024-11-25
2024-12-02,171.63999938964844,171.63999938964844,196.4499969482422,169.60000610351562,172.17999267578125,544772,2024-12-02
2024-12-09,170.0399932861328,170.0399932861328,176.75,166.41000366210938,172.0,49535,2024-12-09
2024-12-16,174.50999450683594,174.50999450683594,194.6999969482422,165.10000610351562,170.89999389648438,294041,2024-12-16
2024-12-23,164.02000427246094,164.02000427246094,177.88999938964844,162.85000610351562,175.8800048828125,46747,2024-12-23
2024-12-30,164.5399932861328,164.5399932861328,171.25,163.00999450683594,163.6999969482422,34669,2024-12-30
2025-01-06,145.3000030517578,145.3000030517578,168.8000030517578,145.0,162.0500030517578,40157,2025-01-06
2025-01-13,149.16000366210938,149.16000366210938,163.0,139.0500030517578,142.5,93972,2025-01-13
2025-01-20,144.58999633789062,144.58999633789062,153.97000122070312,143.10000610351562,153.0,24807,2025-01-20
2025-01-27,148.00999450683594,148.00999450683594,162.38999938964844,126.0,144.0,278750,2025-01-27
2025-02-03,145.88999938964844,145.88999938964844,151.0,141.35000610351562,147.97999572753906,23380,2025-02-03
