Date,Adj Close_NBCC.NS,Close_NBCC.NS,High_NBCC.NS,Low_NBCC.NS,Open_NBCC.NS,Volume_NBCC.NS,Date
2022-11-21,27.16192054748535,27.433332443237305,28.366666793823242,24.733333587646484,25.233333587646484,169592816,2022-11-21
2022-11-28,28.152027130126953,28.433332443237305,29.16666603088379,27.233333587646484,27.5,148275499,2022-11-28
2022-12-05,26.534854888916016,26.799999237060547,28.933332443237305,26.399999618530273,28.633333206176758,47908306,2022-12-05
2022-12-12,26.89789390563965,27.16666603088379,29.16666603088379,26.366666793823242,26.799999237060547,76453401,2022-12-12
2022-12-19,22.508420944213867,22.733333587646484,28.53333282470703,22.53333282470703,27.299999237060547,73156266,2022-12-19
2022-12-26,25.610755920410156,25.866666793823242,26.333332061767578,22.633333206176758,22.933332443237305,46712491,2022-12-26
2023-01-02,25.478740692138672,25.733333587646484,27.566665649414062,25.633333206176758,26.0,48487008,2023-01-02
2023-01-09,26.0398006439209,26.299999237060547,26.5,25.600000381469727,25.933332443237305,30989409,2023-01-09
2023-01-16,25.08269691467285,25.333332061767578,26.5,25.233333587646484,26.233333587646484,35012189,2023-01-16
2023-01-23,23.564533233642578,23.799999237060547,25.966665267944336,23.466665267944336,25.53333282470703,33071854,2023-01-23
2023-01-30,23.03647804260254,23.266666412353516,25.200000762939453,22.433332443237305,23.66666603088379,43004087,2023-01-30
2023-02-06,23.03647804260254,23.266666412353516,23.733333587646484,22.866666793823242,23.399999618530273,24227283,2023-02-06
2023-02-13,22.442413330078125,22.66666603088379,23.566665649414062,22.53333282470703,23.399999618530273,17996385,2023-02-13
2023-02-20,21.7823429107666,22.0,22.899999618530273,21.53333282470703,22.799999237060547,17779870,2023-02-20
2023-02-27,23.49852752685547,23.733333587646484,24.600000381469727,21.866666793823242,22.53333282470703,46520292,2023-02-27
2023-03-06,24.851673126220703,25.100000381469727,25.700000762939453,23.733333587646484,23.833332061767578,51424551,2023-03-06
2023-03-13,23.2344970703125,23.466665267944336,25.466665267944336,23.16666603088379,25.16666603088379,38262022,2023-03-13
2023-03-20,21.650327682495117,21.866666793823242,23.433332443237305,21.700000762939453,23.333332061767578,33696435,2023-03-20
2023-03-27,23.399517059326172,23.633333206176758,24.53333282470703,20.633333206176758,22.03333282470703,76887272,2023-03-27
2023-04-03,24.88467788696289,25.133333206176758,25.333332061767578,23.53333282470703,23.633333206176758,45977871,2023-04-03
2023-04-10,25.18170738220215,25.433332443237305,25.866666793823242,24.466665267944336,25.133333206176758,38860742,2023-04-10
2023-04-17,25.148704528808594,25.399999618530273,26.566665649414062,25.133333206176758,25.366666793823242,53722049,2023-04-17
2023-04-24,25.9407901763916,26.200000762939453,26.799999237060547,25.200000762939453,25.399999618530273,42014940,2023-04-24
2023-05-01,26.96390151977539,27.233333587646484,28.100000381469727,26.200000762939453,26.200000762939453,69516377,2023-05-01
2023-05-08,27.26093292236328,27.53333282470703,28.66666603088379,26.100000381469727,27.433332443237305,81425761,2023-05-08
2023-05-15,26.79888153076172,27.066665649414062,28.5,26.700000762939453,27.53333282470703,56807400,2023-05-15
2023-05-22,27.656972885131836,27.933332443237305,29.266666412353516,26.600000381469727,27.133333206176758,94269307,2023-05-22
2023-05-29,28.87810516357422,29.16666603088379,29.799999237060547,27.600000381469727,28.16666603088379,107187573,2023-05-29
2023-06-05,27.42595100402832,27.700000762939453,29.53333282470703,27.53333282470703,29.333332061767578,53510728,2023-06-05
2023-06-12,27.194923400878906,27.466665267944336,28.299999237060547,27.266666412353516,27.700000762939453,37549129,2023-06-12
2023-06-19,26.204816818237305,26.466665267944336,27.966665267944336,26.366666793823242,27.566665649414062,38620313,2023-06-19
2023-06-26,26.138811111450195,26.399999618530273,26.766666412353516,25.466665267944336,26.466665267944336,42321947,2023-06-26
2023-07-03,26.501850128173828,26.766666412353516,27.566665649414062,25.933332443237305,26.66666603088379,59071091,2023-07-03
2023-07-10,27.16192054748535,27.433332443237305,28.133333206176758,26.66666603088379,26.733333587646484,76087264,2023-07-10
2023-07-17,27.326940536499023,27.600000381469727,28.233333587646484,27.266666412353516,27.5,48585730,2023-07-17
2023-07-24,28.54806900024414,28.833332061767578,29.233333587646484,27.600000381469727,27.633333206176758,105426535,2023-07-24
2023-07-31,31.32036781311035,31.633333206176758,32.06666564941406,28.833332061767578,28.966665267944336,210357851,2023-07-31
2023-08-07,32.17845916748047,32.5,34.133331298828125,31.0,31.899999618530273,179906937,2023-08-07
2023-08-14,31.25436019897461,31.566665649414062,33.20000076293945,31.066665649414062,32.633331298828125,69021588,2023-08-14
2023-08-21,32.40948486328125,32.733333587646484,34.733333587646484,31.366666793823242,31.566665649414062,176314908,2023-08-21
2023-08-28,34.81874465942383,35.166664123535156,35.53333282470703,32.666664123535156,32.96666717529297,124463366,2023-08-28
2023-09-04,39.340232849121094,39.733333587646484,42.400001525878906,35.233333587646484,35.43333435058594,401559135,2023-09-04
