Date,Adj Close_PPL.NS,Close_PPL.NS,High_PPL.NS,Low_PPL.NS,Open_PPL.NS,Volume_PPL.NS,Date
2024-12-23,488.04998779296875,488.04998779296875,507.6499938964844,482.54998779296875,504.3999938964844,404709,2024-12-23
2024-12-30,501.6499938964844,501.6499938964844,511.0,483.6000061035156,495.3500061035156,423341,2024-12-30
2025-01-06,450.25,450.25,505.1499938964844,445.54998779296875,505.0,411927,2025-01-06
2025-01-13,447.20001220703125,447.20001220703125,454.8500061035156,420.0,445.0,298546,2025-01-13
2025-01-20,442.6000061035156,442.6000061035156,471.45001220703125,423.04998779296875,450.0,312856,2025-01-20
2025-01-27,437.54998779296875,437.54998779296875,474.95001220703125,404.1499938964844,440.8500061035156,577759,2025-01-27
2025-02-03,444.95001220703125,444.95001220703125,458.8999938964844,421.6000061035156,428.8500061035156,232276,2025-02-03
2025-02-10,392.70001220703125,392.70001220703125,449.6499938964844,381.0,440.04998779296875,371419,2025-02-10
2025-02-17,441.8500061035156,441.8500061035156,460.0,381.29998779296875,392.95001220703125,584901,2025-02-17
2025-02-24,400.5,400.5,440.0,388.3999938964844,435.20001220703125,322506,2025-02-24
2025-03-03,447.29998779296875,447.29998779296875,466.25,377.54998779296875,406.5,633752,2025-03-03
2025-03-10,411.20001220703125,411.20001220703125,448.3999938964844,408.04998779296875,445.04998779296875,306137,2025-03-10
2025-03-17,431.75,431.75,438.79998779296875,399.1000061035156,413.04998779296875,255309,2025-03-17
2025-03-24,406.8500061035156,406.8500061035156,447.0,402.0,432.0,496839,2025-03-24
2025-03-31,405.20001220703125,405.20001220703125,427.8500061035156,402.8999938964844,406.8500061035156,243725,2025-03-31
2025-04-07,401.29998779296875,401.29998779296875,403.8999938964844,364.70001220703125,370.0,331089,2025-04-07
2025-04-14,421.79998779296875,421.79998779296875,424.1499938964844,405.20001220703125,406.0,129125,2025-04-14
2025-04-21,423.6000061035156,423.6000061035156,445.3999938964844,418.95001220703125,423.0,324259,2025-04-21
2025-04-28,412.70001220703125,412.70001220703125,427.45001220703125,407.79998779296875,423.6499938964844,145538,2025-04-28
2025-05-05,389.5,389.5,416.3500061035156,380.1499938964844,409.0,242916,2025-05-05
2025-05-12,429.1499938964844,429.1499938964844,434.3999938964844,395.3500061035156,395.3500061035156,252845,2025-05-12
2025-05-19,460.6000061035156,460.6000061035156,467.0,424.95001220703125,435.6000061035156,430402,2025-05-19
2025-05-26,405.3500061035156,405.3500061035156,473.8999938964844,398.1499938964844,465.0,821581,2025-05-26
2025-06-02,405.20001220703125,405.20001220703125,430.0,385.95001220703125,405.95001220703125,824962,2025-06-02
2025-06-09,405.3999938964844,405.3999938964844,426.45001220703125,399.1000061035156,413.0,511725,2025-06-09
2025-06-16,398.1499938964844,398.1499938964844,413.8999938964844,393.0,406.0,415307,2025-06-16
2025-06-23,404.3999938964844,404.3999938964844,408.95001220703125,391.54998779296875,400.1000061035156,342190,2025-06-23
2025-06-30,390.5,390.5,408.0,389.75,404.3999938964844,384148,2025-06-30
2025-07-07,388.1000061035156,388.1000061035156,400.0,386.04998779296875,393.95001220703125,227022,2025-07-07
2025-07-14,385.75,385.75,390.95001220703125,382.1000061035156,388.1000061035156,100686,2025-07-14
