Date,Adj Close_SNOWMAN.NS,Close_SNOWMAN.NS,High_SNOWMAN.NS,Low_SNOWMAN.NS,Open_SNOWMAN.NS,Volume_SNOWMAN.NS,Date
2024-05-13,66.9167709350586,67.75,68.5,62.400001525878906,64.1500015258789,2636081,2024-05-13
2024-05-20,65.48460388183594,66.30000305175781,67.75,64.5,67.1500015258789,1579212,2024-05-20
2024-05-27,60.249786376953125,61.0,66.94999694824219,60.099998474121094,66.69999694824219,3947284,2024-05-27
2024-06-03,67.75631713867188,68.5999984741211,70.5,55.5,64.0,9177596,2024-06-03
2024-06-10,72.6750717163086,73.58000183105469,74.5999984741211,67.80000305175781,69.1500015258789,9182371,2024-06-10
2024-06-17,73.18867492675781,74.0999984741211,77.48999786376953,72.16000366210938,73.58000183105469,9126372,2024-06-17
2024-06-24,76.90243530273438,77.86000061035156,81.94999694824219,71.3499984741211,73.5,12724136,2024-06-24
2024-07-01,77.06046295166016,78.0199966430664,82.5199966430664,75.37999725341797,78.12000274658203,12483152,2024-07-01
2024-07-08,74.56157684326172,75.48999786376953,79.5,72.5999984741211,78.38999938964844,8867269,2024-07-08
2024-07-15,72.83309936523438,73.73999786376953,78.19999694824219,73.20999908447266,75.69000244140625,5718004,2024-07-15
2024-07-22,84.28056335449219,85.33000183105469,89.0,71.11000061035156,73.0,21949146,2024-07-22
2024-07-29,78.21607971191406,79.19000244140625,88.25,78.01000213623047,86.91000366210938,12730230,2024-07-29
2024-08-05,79.2630386352539,80.25,87.29000091552734,72.94999694824219,76.0,29206756,2024-08-05
2024-08-12,74.21588134765625,75.13999938964844,79.80000305175781,73.44000244140625,79.80000305175781,6282201,2024-08-12
2024-08-19,80.64582061767578,81.6500015258789,83.80000305175781,74.54000091552734,76.47000122070312,13350074,2024-08-19
2024-08-26,82.2699966430664,82.2699966430664,86.3499984741211,77.8499984741211,82.05000305175781,12332286,2024-08-26
2024-09-02,81.68000030517578,81.68000030517578,86.9000015258789,80.0,84.69999694824219,7903072,2024-09-02
2024-09-09,82.62999725341797,82.62999725341797,85.4000015258789,78.30000305175781,81.41999816894531,8831297,2024-09-09
2024-09-16,83.6500015258789,83.6500015258789,87.4000015258789,77.62000274658203,83.18000030517578,20325523,2024-09-16
2024-09-23,84.69000244140625,84.69000244140625,91.6500015258789,82.5,84.29000091552734,29766359,2024-09-23
2024-09-30,78.62000274658203,78.62000274658203,84.88999938964844,77.69999694824219,84.44999694824219,5926865,2024-09-30
2024-10-07,77.6500015258789,77.6500015258789,81.0,73.73999786376953,79.30000305175781,6968276,2024-10-07
2024-10-14,76.2300033569336,76.2300033569336,78.7300033569336,74.5999984741211,77.83999633789062,2976606,2024-10-14
2024-10-21,65.52999877929688,65.52999877929688,77.44000244140625,65.05000305175781,76.79000091552734,6273434,2024-10-21
2024-10-28,70.79000091552734,70.79000091552734,71.23999786376953,64.61000061035156,65.94999694824219,3879078,2024-10-28
2024-11-04,69.30999755859375,69.30999755859375,73.5,67.79000091552734,72.1500015258789,4380755,2024-11-04
2024-11-11,65.08999633789062,65.08999633789062,70.08999633789062,63.08000183105469,69.0,3367695,2024-11-11
2024-11-18,72.94000244140625,72.94000244140625,73.4000015258789,64.1500015258789,65.0999984741211,3270609,2024-11-18
2024-11-25,73.69999694824219,73.69999694824219,74.80000305175781,70.5,74.04000091552734,2813252,2024-11-25
2024-12-02,78.5199966430664,78.5199966430664,80.69999694824219,73.0,74.0999984741211,5246313,2024-12-02
2024-12-09,74.47000122070312,74.47000122070312,79.4000015258789,72.70999908447266,78.5999984741211,3364092,2024-12-09
2024-12-16,69.86000061035156,69.86000061035156,75.77999877929688,69.30000305175781,74.87999725341797,2811599,2024-12-16
2024-12-23,71.66999816894531,71.66999816894531,77.2699966430664,68.5999984741211,70.01000213623047,5890753,2024-12-23
2024-12-30,70.58000183105469,70.58000183105469,72.16000366210938,69.1500015258789,71.69999694824219,1995128,2024-12-30
2025-01-06,65.48999786376953,65.48999786376953,71.23999786376953,65.12000274658203,70.58999633789062,1603373,2025-01-06
2025-01-13,66.3499984741211,66.3499984741211,66.88999938964844,61.099998474121094,64.80000305175781,1751916,2025-01-13
2025-01-20,62.0099983215332,62.0099983215332,66.54000091552734,61.849998474121094,66.05000305175781,1023283,2025-01-20
2025-01-27,62.59000015258789,62.59000015258789,63.279998779296875,59.90999984741211,61.119998931884766,1466266,2025-01-27
2025-02-03,57.959999084472656,57.959999084472656,62.88999938964844,56.54999923706055,62.849998474121094,2982031,2025-02-03
2025-02-10,50.29999923706055,50.29999923706055,58.33000183105469,49.130001068115234,58.33000183105469,2657911,2025-02-10
2025-02-17,50.38999938964844,50.38999938964844,52.0099983215332,47.34000015258789,50.0099983215332,2843353,2025-02-17
2025-02-24,46.13999938964844,46.13999938964844,50.040000915527344,44.4900016784668,49.900001525878906,1875971,2025-02-24
2025-03-03,49.68000030517578,49.68000030517578,51.70000076293945,43.0,46.36000061035156,3480332,2025-03-03
2025-03-10,44.13999938964844,44.13999938964844,50.18000030517578,43.810001373291016,49.25,2255783,2025-03-10
2025-03-17,47.81999969482422,47.81999969482422,48.86000061035156,43.0,44.400001525878906,3357453,2025-03-17
2025-03-24,44.7599983215332,44.7599983215332,49.34000015258789,44.560001373291016,47.86000061035156,4534888,2025-03-24
2025-03-31,46.97999954223633,46.97999954223633,49.650001525878906,44.209999084472656,44.7599983215332,1414395,2025-03-31
