Date,Adj Close_MANAKCOAT.NS,Close_MANAKCOAT.NS,High_MANAKCOAT.NS,Low_MANAKCOAT.NS,Open_MANAKCOAT.NS,Volume_MANAKCOAT.NS,Date
2023-07-31,16.711759567260742,16.75,17.700000762939453,16.549999237060547,17.25,439918,2023-07-31
2023-08-07,17.01107406616211,17.049999237060547,17.899999618530273,16.700000762939453,17.049999237060547,863618,2023-08-07
2023-08-14,16.86141586303711,16.899999618530273,17.5,16.75,16.850000381469727,330309,2023-08-14
2023-08-21,18.757078170776367,18.799999237060547,20.450000762939453,17.100000381469727,17.100000381469727,1626921,2023-08-21
2023-08-28,18.935794830322266,18.950000762939453,19.350000381469727,18.100000381469727,19.100000381469727,411036,2023-08-28
2023-09-04,26.72994613647461,26.75,27.700000762939453,19.100000381469727,19.25,4152263,2023-09-04
2023-09-11,22.233320236206055,22.25,27.5,22.149999618530273,27.5,904975,2023-09-11
2023-09-18,22.633020401000977,22.649999618530273,23.149999618530273,21.350000381469727,22.75,195816,2023-09-18
2023-09-25,24.3817081451416,24.399999618530273,24.399999618530273,21.5,23.450000762939453,390226,2023-09-25
2023-10-02,25.780658721923828,25.799999237060547,25.950000762939453,23.100000381469727,24.399999618530273,394200,2023-10-02
2023-10-09,25.08118438720703,25.100000381469727,25.950000762939453,23.600000381469727,24.649999618530273,336608,2023-10-09
2023-10-16,25.63077163696289,25.649999618530273,26.5,23.549999237060547,25.0,653360,2023-10-16
2023-10-23,24.631521224975586,24.649999618530273,26.399999618530273,23.299999237060547,25.5,192883,2023-10-23
2023-10-30,25.9305477142334,25.950000762939453,26.399999618530273,24.0,24.850000381469727,142547,2023-10-30
2023-11-06,26.580059051513672,26.600000381469727,27.100000381469727,25.399999618530273,26.399999618530273,199113,2023-11-06
2023-11-13,27.029722213745117,27.049999237060547,27.049999237060547,25.049999237060547,26.950000762939453,180528,2023-11-13
2023-11-20,28.878334045410156,28.899999618530273,29.799999237060547,27.5,27.899999618530273,628626,2023-11-20
2023-11-27,30.127397537231445,30.149999618530273,33.099998474121094,28.899999618530273,28.899999618530273,473818,2023-11-27
2023-12-04,30.227323532104492,30.25,31.649999618530273,28.549999237060547,31.649999618530273,325255,2023-12-04
2023-12-11,32.92530059814453,32.95000076293945,35.5,30.149999618530273,30.25,456621,2023-12-11
2023-12-18,29.82762336730957,29.850000381469727,32.29999923706055,29.850000381469727,32.29999923706055,76514,2023-12-18
2023-12-25,28.178861618041992,28.200000762939453,29.850000381469727,28.200000762939453,29.850000381469727,104895,2023-12-25
2024-01-01,30.976760864257812,31.0,31.0,28.200000762939453,28.75,135961,2024-01-01
2024-01-08,31.07668685913086,31.100000381469727,31.399999618530273,29.950000762939453,30.549999237060547,156463,2024-01-08
