Date,Adj Close_SESHAPAPER.NS,Close_SESHAPAPER.NS,High_SESHAPAPER.NS,Low_SESHAPAPER.NS,Open_SESHAPAPER.NS,Volume_SESHAPAPER.NS,Date
2024-03-25,287.3433532714844,294.25,312.1499938964844,286.20001220703125,312.1499938964844,301564,2024-03-25
2024-04-01,313.9049377441406,321.45001220703125,328.8999938964844,294.0,294.0,222546,2024-04-01
2024-04-08,314.3443298339844,321.8999938964844,333.6000061035156,321.29998779296875,324.04998779296875,151479,2024-04-08
2024-04-15,307.5574951171875,314.95001220703125,325.3999938964844,307.0,321.04998779296875,208588,2024-04-15
2024-04-22,339.3434753417969,347.5,354.0,316.3500061035156,317.04998779296875,869216,2024-04-22
2024-04-29,325.4767761230469,333.29998779296875,345.8999938964844,330.0,340.0,413929,2024-04-29
2024-05-06,314.4420166015625,322.0,336.8999938964844,311.0,335.0,237000,2024-05-06
2024-05-13,324.890869140625,332.70001220703125,334.25,315.79998779296875,322.20001220703125,146570,2024-05-13
2024-05-20,321.6194763183594,329.3500061035156,340.8500061035156,323.04998779296875,330.29998779296875,191244,2024-05-20
2024-05-27,317.29046630859375,320.04998779296875,331.3500061035156,315.0,331.0,118519,2024-05-27
2024-06-03,331.3680419921875,334.25,336.29998779296875,280.0,326.45001220703125,291460,2024-06-03
2024-06-10,349.460693359375,352.5,360.8999938964844,325.0,335.0,606357,2024-06-10
2024-06-17,340.3399963378906,343.29998779296875,356.0,338.75,352.5,287683,2024-06-17
2024-06-24,329.0382995605469,331.8999938964844,360.0,329.25,344.0,674143,2024-06-24
2024-07-01,354.5167236328125,357.6000061035156,367.0,331.04998779296875,335.3999938964844,1254968,2024-07-01
2024-07-08,361.8529052734375,365.0,369.8999938964844,346.3500061035156,357.95001220703125,462517,2024-07-08
2024-07-15,347.72576904296875,350.75,372.0,346.1000061035156,365.0,457650,2024-07-15
2024-07-22,340.58782958984375,343.54998779296875,354.8500061035156,325.1000061035156,340.04998779296875,382964,2024-07-22
2024-07-29,347.0813903808594,350.1000061035156,358.1499938964844,338.20001220703125,342.0,336142,2024-07-29
2024-08-05,337.7128601074219,340.6499938964844,351.0,330.3500061035156,347.0,184370,2024-08-05
2024-08-12,334.1934814453125,337.1000061035156,343.70001220703125,325.1000061035156,337.1000061035156,154213,2024-08-12
2024-08-19,363.8852233886719,367.04998779296875,373.45001220703125,333.70001220703125,337.5,420935,2024-08-19
2024-08-26,348.2214660644531,351.25,366.95001220703125,345.04998779296875,366.0,158216,2024-08-26
2024-09-02,339.10076904296875,342.04998779296875,356.0,340.1000061035156,350.5,99457,2024-09-02
2024-09-09,358.58135986328125,361.70001220703125,371.0,336.1499938964844,343.79998779296875,330056,2024-09-09
2024-09-16,347.6266174316406,350.6499938964844,364.6000061035156,340.0,361.70001220703125,228584,2024-09-16
2024-09-23,341.0339660644531,344.0,353.0,341.3500061035156,350.6499938964844,113917,2024-09-23
2024-09-30,332.50811767578125,335.3999938964844,347.45001220703125,331.0,345.75,97325,2024-09-30
2024-10-07,334.0447692871094,336.95001220703125,338.6000061035156,320.0,337.1000061035156,106746,2024-10-07
2024-10-14,321.949951171875,324.75,340.25,310.54998779296875,338.6499938964844,104410,2024-10-14
2024-10-21,296.6698303222656,299.25,321.5,285.29998779296875,313.0,242010,2024-10-21
2024-10-28,308.2689514160156,310.95001220703125,312.25,296.6499938964844,300.70001220703125,69485,2024-10-28
2024-11-04,299.3465576171875,301.95001220703125,315.95001220703125,297.0,310.6499938964844,90249,2024-11-04
2024-11-11,287.49957275390625,290.0,304.3999938964844,285.0,301.95001220703125,55656,2024-11-11
2024-11-18,284.0297546386719,286.5,292.70001220703125,279.29998779296875,290.0,62851,2024-11-18
2024-11-25,304.3529968261719,307.0,309.1000061035156,286.29998779296875,286.75,85393,2024-11-25
2024-12-02,317.4391784667969,320.20001220703125,335.25,306.0,307.0,304512,2024-12-02
2024-12-09,313.62237548828125,316.3500061035156,327.5,285.0,322.1000061035156,131935,2024-12-09
2024-12-16,298.6525573730469,301.25,333.0,295.0,318.29998779296875,167501,2024-12-16
2024-12-23,313.9693603515625,316.70001220703125,324.5,297.0,300.5,147915,2024-12-23
2024-12-30,303.3616027832031,306.0,320.95001220703125,301.1499938964844,319.8500061035156,116043,2024-12-30
2025-01-06,287.10302734375,289.6000061035156,308.1000061035156,287.54998779296875,305.0,124856,2025-01-06
2025-01-13,292.4564514160156,295.0,307.04998779296875,285.0,287.0,82074,2025-01-13
2025-01-20,293.29913330078125,295.8500061035156,302.0,277.0,287.0,126336,2025-01-20
2025-01-27,290.47369384765625,293.0,305.0,283.1499938964844,285.04998779296875,110254,2025-01-27
2025-02-03,279.7172546386719,282.1499938964844,293.5,280.75,292.8999938964844,40880,2025-02-03
2025-02-10,281.35302734375,283.79998779296875,304.0,272.0,284.8999938964844,132470,2025-02-10
2025-02-17,298.751708984375,301.3500061035156,316.25,275.0,276.0,139804,2025-02-17
2025-02-24,271.7366638183594,274.1000061035156,302.8500061035156,272.3999938964844,302.8500061035156,66572,2025-02-24
2025-03-03,282.5426940917969,285.0,295.70001220703125,268.04998779296875,274.1499938964844,95514,2025-03-03
2025-03-10,264.35089111328125,266.6499938964844,289.25,264.04998779296875,289.25,125845,2025-03-10
2025-03-17,271.141845703125,273.5,280.3500061035156,259.1000061035156,263.0,112698,2025-03-17
2025-03-24,257.80780029296875,260.04998779296875,281.75,259.0,272.0,148345,2025-03-24
2025-03-31,262.9629821777344,265.25,275.0,260.04998779296875,260.04998779296875,71312,2025-03-31
2025-04-07,261.37677001953125,263.6499938964844,266.5,256.25,256.25,57665,2025-04-07
2025-04-14,269.3077697753906,271.6499938964844,274.0,263.6000061035156,263.6499938964844,40902,2025-04-14
2025-04-21,265.09442138671875,267.3999938964844,279.0,265.45001220703125,275.0,64199,2025-04-21
2025-04-28,266.2840881347656,268.6000061035156,284.0,264.6000061035156,267.3999938964844,60597,2025-04-28
2025-05-05,261.32720947265625,263.6000061035156,277.0,257.54998779296875,270.1499938964844,47043,2025-05-05
2025-05-12,276.7926940917969,279.20001220703125,281.8999938964844,263.04998779296875,268.0,127191,2025-05-12
2025-05-19,288.0448303222656,290.54998779296875,309.8999938964844,272.79998779296875,279.8999938964844,164967,2025-05-19
2025-05-26,285.26898193359375,287.75,301.95001220703125,283.0,287.0,140489,2025-05-26
2025-06-02,279.7172546386719,282.1499938964844,298.0,281.0,290.6499938964844,110619,2025-06-02
2025-06-09,283.3999938964844,283.3999938964844,291.0,279.29998779296875,280.6000061035156,61915,2025-06-09
2025-06-16,306.45001220703125,306.45001220703125,314.0,275.79998779296875,283.8999938964844,239371,2025-06-16
2025-06-23,300.5,300.5,318.0,297.0,304.0,210933,2025-06-23
2025-06-30,305.6000061035156,305.6000061035156,314.0,295.0,303.5,215233,2025-06-30
2025-07-07,295.20001220703125,295.20001220703125,316.95001220703125,294.0,307.0,183496,2025-07-07
2025-07-14,296.79998779296875,296.79998779296875,305.0,294.8999938964844,295.0,44428,2025-07-14
