Date,Adj Close_FINCABLES.NS,Close_FINCABLES.NS,High_FINCABLES.NS,Low_FINCABLES.NS,Open_FINCABLES.NS,Volume_FINCABLES.NS,Date
2024-04-29,1042.3868408203125,1048.3499755859375,1082.0,1004.0499877929688,1004.4000244140625,1238037,2024-04-29
2024-05-06,1021.8046875,1027.6500244140625,1070.0,1005.2999877929688,1054.0,1369964,2024-05-06
2024-05-13,1048.352783203125,1054.3499755859375,1084.4000244140625,994.1500244140625,1020.0999755859375,1242552,2024-05-13
2024-05-20,1275.304443359375,1282.5999755859375,1363.300048828125,1037.0,1055.4000244140625,11924594,2024-05-20
2024-05-27,1427.2353515625,1435.4000244140625,1506.9000244140625,1290.0,1308.300048828125,11297176,2024-05-27
2024-06-03,1465.4169921875,1473.800048828125,1541.8499755859375,1300.050048828125,1500.0,2002579,2024-06-03
2024-06-10,1585.4801025390625,1594.550048828125,1629.949951171875,1471.949951171875,1502.5,1977626,2024-06-10
2024-06-17,1559.4788818359375,1568.4000244140625,1623.25,1510.050048828125,1594.550048828125,878767,2024-06-17
2024-06-24,1550.530029296875,1559.4000244140625,1700.0,1545.4000244140625,1561.5,1025976,2024-06-24
2024-07-01,1657.0208740234375,1666.5,1697.949951171875,1560.050048828125,1582.8499755859375,628903,2024-07-01
2024-07-08,1574.64208984375,1583.6500244140625,1683.3499755859375,1556.0,1666.5,898907,2024-07-08
2024-07-15,1528.5059814453125,1537.25,1674.9000244140625,1521.0,1588.800048828125,1066020,2024-07-15
2024-07-22,1552.1209716796875,1561.0,1569.800048828125,1441.1500244140625,1537.199951171875,471554,2024-07-22
2024-07-29,1524.677978515625,1533.4000244140625,1611.0,1498.9000244140625,1570.949951171875,831209,2024-07-29
2024-08-05,1482.121337890625,1490.5999755859375,1522.0,1444.199951171875,1522.0,694742,2024-08-05
2024-08-12,1456.91552734375,1465.25,1508.800048828125,1420.25,1490.0,524646,2024-08-12
2024-08-19,1469.046142578125,1477.449951171875,1538.0,1425.0,1456.0,1548474,2024-08-19
2024-08-26,1443.989501953125,1452.25,1516.300048828125,1433.5,1482.0,1237834,2024-08-26
2024-09-02,1405.2113037109375,1413.25,1469.9000244140625,1410.0,1452.25,648150,2024-09-02
2024-09-09,1415.0550537109375,1423.1500244140625,1435.0,1369.1500244140625,1410.0,512675,2024-09-09
2024-09-16,1379.3094482421875,1387.199951171875,1433.0,1372.0,1433.0,476812,2024-09-16
2024-09-23,1443.3499755859375,1443.3499755859375,1559.0,1392.0,1394.0,4836411,2024-09-23
2024-09-30,1365.1500244140625,1365.1500244140625,1449.1500244140625,1336.949951171875,1440.0,794256,2024-09-30
2024-10-07,1298.1500244140625,1298.1500244140625,1374.4000244140625,1267.199951171875,1368.550048828125,1432045,2024-10-07
2024-10-14,1323.75,1323.75,1360.5999755859375,1287.5,1299.0,984102,2024-10-14
2024-10-21,1189.550048828125,1189.550048828125,1333.050048828125,1174.550048828125,1323.75,631126,2024-10-21
2024-10-28,1245.5999755859375,1245.5999755859375,1257.75,1179.25,1195.0,938429,2024-10-28
2024-11-04,1212.6500244140625,1212.6500244140625,1269.199951171875,1195.550048828125,1264.9000244140625,662758,2024-11-04
2024-11-11,1137.3499755859375,1137.3499755859375,1224.9000244140625,1103.1500244140625,1213.0,619764,2024-11-11
2024-11-18,1116.75,1116.75,1170.0,1086.050048828125,1140.6500244140625,396230,2024-11-18
2024-11-25,1149.8499755859375,1149.8499755859375,1175.800048828125,1108.6500244140625,1150.0,574273,2024-11-25
2024-12-02,1330.949951171875,1330.949951171875,1342.75,1133.5999755859375,1153.1500244140625,4292424,2024-12-02
2024-12-09,1270.3499755859375,1270.3499755859375,1330.75,1257.300048828125,1330.0,761249,2024-12-09
2024-12-16,1157.949951171875,1157.949951171875,1289.949951171875,1142.0,1281.949951171875,933917,2024-12-16
2024-12-23,1194.75,1194.75,1294.0,1131.5,1164.0999755859375,6058871,2024-12-23
2024-12-30,1154.3499755859375,1154.3499755859375,1203.0,1136.0,1199.6500244140625,1073471,2024-12-30
2025-01-06,1039.050048828125,1039.050048828125,1157.4000244140625,1036.0,1154.3499755859375,615628,2025-01-06
2025-01-13,1028.0999755859375,1028.0999755859375,1083.0,986.0,1014.0499877929688,1300021,2025-01-13
2025-01-20,996.4000244140625,996.4000244140625,1042.0,988.0499877929688,1028.0999755859375,640134,2025-01-20
2025-01-27,999.0,999.0,1030.0,961.6500244140625,976.0,921501,2025-01-27
2025-02-03,985.7999877929688,985.7999877929688,1010.2000122070312,965.0,999.0,565659,2025-02-03
2025-02-10,934.4500122070312,934.4500122070312,1059.949951171875,865.0499877929688,988.0,11115277,2025-02-10
2025-02-17,914.9500122070312,914.9500122070312,952.6500244140625,875.5499877929688,910.0,2408410,2025-02-17
2025-02-24,816.8499755859375,816.8499755859375,919.0,810.0999755859375,914.8499755859375,1617467,2025-02-24
2025-03-03,834.6500244140625,834.6500244140625,851.0,789.0,825.2000122070312,1187594,2025-03-03
2025-03-10,797.5499877929688,797.5499877929688,849.0,791.8499755859375,843.0,747303,2025-03-10
2025-03-17,839.0,839.0,878.2000122070312,780.0,793.2000122070312,2129497,2025-03-17
2025-03-24,913.3499755859375,913.3499755859375,988.0,843.0,843.0,29301781,2025-03-24
2025-03-31,878.3499755859375,878.3499755859375,918.9500122070312,864.5499877929688,913.3499755859375,1275537,2025-03-31
2025-04-07,875.5999755859375,875.5999755859375,887.4000244140625,781.0499877929688,811.0999755859375,996303,2025-04-07
2025-04-14,893.0499877929688,893.0499877929688,909.0,875.5999755859375,875.5999755859375,665476,2025-04-14
2025-04-21,864.7000122070312,864.7000122070312,919.0,849.0,903.0,1387894,2025-04-21
2025-04-28,855.9500122070312,855.9500122070312,884.9000244140625,850.75,866.9500122070312,628787,2025-04-28
2025-05-05,877.9000244140625,877.9000244140625,934.0,860.7000122070312,860.7000122070312,4607154,2025-05-05
2025-05-12,961.6500244140625,961.6500244140625,965.5999755859375,898.4000244140625,903.9000244140625,1516468,2025-05-12
2025-05-19,967.5,967.5,997.0,934.5999755859375,965.0,1531414,2025-05-19
2025-05-26,973.7999877929688,973.7999877929688,1007.5999755859375,941.5999755859375,978.6500244140625,2280742,2025-05-26
2025-06-02,969.4000244140625,969.4000244140625,1028.0,957.0999755859375,973.75,5347289,2025-06-02
2025-06-09,959.6500244140625,959.6500244140625,1009.0,947.1500244140625,977.9000244140625,1478492,2025-06-09
2025-06-16,915.5999755859375,915.5999755859375,972.0,908.0,959.6500244140625,1563060,2025-06-16
2025-06-23,958.5999755859375,958.5999755859375,975.0,908.0499877929688,912.9000244140625,1187648,2025-06-23
2025-06-30,978.9500122070312,978.9500122070312,999.9000244140625,963.9500122070312,965.0,1456190,2025-06-30
2025-07-07,957.4500122070312,957.4500122070312,980.0,951.1500244140625,980.0,555260,2025-07-07
