Date,Adj Close_STEELXIND.NS,Close_STEELXIND.NS,High_STEELXIND.NS,Low_STEELXIND.NS,Open_STEELXIND.NS,Volume_STEELXIND.NS,Date
2022-12-26,13.800000190734863,13.800000190734863,13.850000381469727,12.699999809265137,13.100000381469727,14874590,2022-12-26
2023-01-02,14.550000190734863,14.550000190734863,15.100000381469727,13.600000381469727,13.949999809265137,11683199,2023-01-02
2023-01-09,15.100000381469727,15.100000381469727,15.949999809265137,14.399999618530273,14.649999618530273,11047755,2023-01-09
2023-01-16,15.199999809265137,15.199999809265137,15.399999618530273,13.949999809265137,15.100000381469727,11358821,2023-01-16
2023-01-23,14.350000381469727,14.350000381469727,15.649999618530273,14.350000381469727,15.5,10398596,2023-01-23
2023-01-30,12.300000190734863,12.300000190734863,14.600000381469727,12.300000190734863,14.300000190734863,19944436,2023-01-30
2023-02-06,12.800000190734863,12.800000190734863,13.449999809265137,12.199999809265137,12.899999618530273,8149787,2023-02-06
2023-02-13,14.649999618530273,14.649999618530273,15.300000190734863,12.949999809265137,13.050000190734863,14818374,2023-02-13
2023-02-20,15.850000381469727,15.850000381469727,15.949999809265137,14.25,14.75,10344913,2023-02-20
2023-02-27,16.25,16.25,16.5,15.050000190734863,16.0,12902117,2023-02-27
2023-03-06,16.649999618530273,16.649999618530273,17.25,15.800000190734863,16.299999237060547,18991164,2023-03-06
2023-03-13,14.300000190734863,14.300000190734863,16.700000762939453,14.25,16.399999618530273,15695592,2023-03-13
2023-03-20,13.850000381469727,13.850000381469727,14.800000190734863,13.449999809265137,14.800000190734863,13625499,2023-03-20
2023-03-27,13.5,13.5,13.949999809265137,12.449999809265137,13.949999809265137,7218306,2023-03-27
2023-04-03,14.449999809265137,14.449999809265137,14.800000190734863,13.800000190734863,13.949999809265137,9095627,2023-04-03
2023-04-10,15.600000381469727,15.600000381469727,16.700000762939453,14.199999809265137,14.350000381469727,20764246,2023-04-10
2023-04-17,17.149999618530273,17.149999618530273,17.25,14.850000381469727,15.300000190734863,23252059,2023-04-17
2023-04-24,16.899999618530273,16.899999618530273,17.25,15.5,17.25,15337235,2023-04-24
2023-05-01,16.100000381469727,16.100000381469727,16.899999618530273,15.600000381469727,16.899999618530273,10489130,2023-05-01
2023-05-08,16.299999237060547,16.299999237060547,16.899999618530273,15.199999809265137,16.200000762939453,16869713,2023-05-08
2023-05-15,16.350000381469727,16.350000381469727,17.100000381469727,16.149999618530273,16.299999237060547,13522818,2023-05-15
2023-05-22,14.699999809265137,14.699999809265137,16.25,14.600000381469727,16.200000762939453,10956609,2023-05-22
2023-05-29,15.100000381469727,15.100000381469727,15.25,14.399999618530273,14.899999618530273,12910174,2023-05-29
2023-06-05,15.0,15.0,15.75,14.75,15.149999618530273,12104303,2023-06-05
2023-06-12,14.949999809265137,14.949999809265137,16.200000762939453,14.850000381469727,15.25,19527463,2023-06-12
2023-06-19,14.0,14.0,15.149999618530273,13.899999618530273,15.149999618530273,13402013,2023-06-19
2023-06-26,14.850000381469727,14.850000381469727,16.399999618530273,14.0,14.300000190734863,33065520,2023-06-26
2023-07-03,14.5,14.5,15.25,14.199999809265137,15.199999809265137,15798012,2023-07-03
2023-07-10,14.350000381469727,14.350000381469727,15.100000381469727,13.949999809265137,14.649999618530273,29024450,2023-07-10
2023-07-17,14.0,14.0,15.0,13.899999618530273,14.449999809265137,19491972,2023-07-17
2023-07-24,13.699999809265137,13.699999809265137,14.199999809265137,13.0,14.0,19241120,2023-07-24
2023-07-31,12.899999618530273,12.899999618530273,13.800000190734863,12.350000381469727,13.75,22761847,2023-07-31
2023-08-07,12.949999809265137,12.949999809265137,13.449999809265137,12.449999809265137,13.050000190734863,11794320,2023-08-07
2023-08-14,12.25,12.25,12.899999618530273,11.600000381469727,12.899999618530273,13975766,2023-08-14
2023-08-21,11.350000381469727,11.350000381469727,12.399999618530273,10.600000381469727,12.25,26660805,2023-08-21
