Date,Adj Close_TCS.NS,Close_TCS.NS,High_TCS.NS,Low_TCS.NS,Open_TCS.NS,Volume_TCS.NS,Date
2023-09-25,3438.931396484375,3528.60009765625,3620.0,3505.550048828125,3602.5,8505518,2023-09-25
2023-10-02,3529.373046875,3621.39990234375,3634.949951171875,3477.300048828125,3528.60009765625,8802745,2023-10-02
2023-10-09,3480.107421875,3570.85009765625,3679.0,3525.0,3645.050048828125,15639277,2023-10-09
2023-10-16,3405.74658203125,3494.550048828125,3574.64990234375,3444.050048828125,3566.0,7747170,2023-10-16
2023-10-23,3274.245849609375,3350.949951171875,3478.949951171875,3330.0,3473.0,5718131,2023-10-23
2023-10-30,3274.19677734375,3350.89990234375,3399.0,3311.0,3350.0,6122240,2023-10-30
2023-11-06,3257.146240234375,3333.449951171875,3404.14990234375,3322.35009765625,3375.0,6734804,2023-11-06
2023-11-13,3422.278076171875,3502.449951171875,3529.35009765625,3327.0,3356.0,9064068,2023-11-13
2023-11-20,3377.96630859375,3457.10009765625,3544.0,3453.0,3491.25,9800445,2023-11-20
2023-11-27,3431.26708984375,3511.64990234375,3518.0,3433.0,3457.10009765625,7569205,2023-11-27
2023-12-04,3543.68359375,3626.699951171875,3645.0,3498.0,3544.64990234375,8508249,2023-12-04
2023-12-11,3772.62060546875,3861.0,3895.949951171875,3563.0,3622.89990234375,19011963,2023-12-11
2023-12-18,3736.467529296875,3824.0,3929.0,3743.35009765625,3858.10009765625,11042750,2023-12-18
2023-12-25,3706.56787109375,3793.39990234375,3838.0,3765.39990234375,3824.0,5837092,2023-12-25
2024-01-01,3652.338623046875,3737.89990234375,3832.0,3651.0,3790.0,9534321,2024-01-01
2024-01-08,3793.921875,3882.800048828125,3905.25,3672.39990234375,3737.89990234375,12322335,2024-01-08
2024-01-15,3852.79296875,3943.050048828125,3965.0,3812.550048828125,3960.0,12873958,2024-01-15
2024-01-22,3731.687255859375,3810.300048828125,3943.050048828125,3778.699951171875,3943.050048828125,7481717,2024-01-22
2024-01-29,3884.46875,3966.300048828125,3984.39990234375,3780.85009765625,3800.800048828125,10707343,2024-01-29
2024-02-05,4048.4150390625,4133.7001953125,4184.75,3962.10009765625,3983.0,12735955,2024-02-05
2024-02-12,4043.1259765625,4128.2998046875,4170.0,4049.5,4130.0,6061552,2024-02-12
2024-02-19,3968.49853515625,4052.10009765625,4130.0,3971.0,4123.0498046875,9372002,2024-02-19
2024-02-26,4009.876708984375,4094.35009765625,4154.89990234375,3982.75,4036.0,12094968,2024-02-26
2024-03-04,4023.832763671875,4108.60009765625,4124.0,3958.449951171875,4105.0,8253239,2024-03-04
2024-03-11,4132.19970703125,4219.25,4241.0,4086.0,4089.0,15473880,2024-03-11
2024-03-18,3830.21142578125,3910.89990234375,4254.75,3855.0,4215.25,21958093,2024-03-18
2024-03-25,3796.325439453125,3876.300048828125,3946.699951171875,3829.39990234375,3910.89990234375,9721283,2024-03-25
2024-04-01,3897.151611328125,3979.25,4028.64990234375,3851.0,3897.699951171875,12716888,2024-04-01
2024-04-08,3918.844482421875,4001.39990234375,4032.64990234375,3918.0,3983.0,10636316,2024-04-08
2024-04-15,3747.259033203125,3826.199951171875,4064.199951171875,3800.89990234375,4001.39990234375,13685782,2024-04-15
2024-04-22,3742.50927734375,3821.35009765625,3898.0,3802.550048828125,3837.0,9749230,2024-04-22
2024-04-29,3764.10400390625,3843.39990234375,3893.60009765625,3778.050048828125,3838.0,8767049,2024-04-29
2024-05-06,3813.562255859375,3893.89990234375,3988.0,3853.0,3853.0,8762603,2024-05-06
2024-05-13,3771.988037109375,3851.449951171875,3955.0,3830.0,3884.5,8560933,2024-05-13
2024-05-20,3797.47998046875,3849.5,3905.0,3810.050048828125,3834.10009765625,6624479,2024-05-20
2024-05-27,3621.3427734375,3670.949951171875,3908.35009765625,3653.75,3855.0,19087656,2024-05-27
2024-06-03,3841.329345703125,3893.949951171875,3915.0,3591.5,3732.800048828125,17232921,2024-06-03
2024-06-10,3780.265869140625,3832.050048828125,3905.89990234375,3827.449951171875,3895.0,9124613,2024-06-10
2024-06-17,3759.25341796875,3810.75,3877.800048828125,3780.050048828125,3832.050048828125,10771816,2024-06-17
2024-06-24,3851.391357421875,3904.14990234375,3960.0,3791.300048828125,3808.75,11938934,2024-06-24
2024-07-01,3957.586669921875,4011.800048828125,4047.35009765625,3884.0,3884.0,10973987,2024-07-01
2024-07-08,4127.41064453125,4183.9501953125,4199.9501953125,3895.60009765625,4022.0,24115752,2024-07-08
2024-07-15,4244.25927734375,4302.39990234375,4358.75,4144.89990234375,4235.7001953125,16394269,2024-07-15
2024-07-22,4338.6083984375,4387.85009765625,4422.4501953125,4265.0,4299.9501953125,12433939,2024-07-22
2024-07-29,4234.984375,4283.0498046875,4431.0,4270.0,4415.0,10888326,2024-07-29
2024-08-05,4181.29345703125,4228.75,4258.25,4110.5,4239.0,9972323,2024-08-05
2024-08-12,4366.49169921875,4416.0498046875,4427.0,4183.0,4230.0,9116108,2024-08-12
2024-08-19,4413.8046875,4463.89990234375,4565.0,4390.35009765625,4421.0,9803623,2024-08-19
2024-08-26,4502.64697265625,4553.75,4592.25,4457.2998046875,4489.0,10393782,2024-08-26
2024-09-02,4406.7353515625,4456.75,4588.0,4436.7001953125,4576.0,7537240,2024-09-02
2024-09-09,4471.84619140625,4522.60009765625,4549.35009765625,4430.5,4455.0,8097450,2024-09-09
2024-09-16,4236.8134765625,4284.89990234375,4546.0498046875,4227.5,4527.0,14191722,2024-09-16
2024-09-23,4260.3466796875,4308.7001953125,4378.0,4240.0,4300.0,14404146,2024-09-23
2024-09-30,4204.5302734375,4252.25,4298.75,4210.0,4286.89990234375,10642363,2024-09-30
2024-10-07,4102.63671875,4149.2001953125,4297.25,4112.4501953125,4273.89990234375,12235048,2024-10-07
2024-10-14,4076.77978515625,4123.0498046875,4169.9501953125,4067.199951171875,4140.0,12139874,2024-10-14
2024-10-21,4021.802978515625,4057.550048828125,4139.9501953125,3995.14990234375,4132.60009765625,9926395,2024-10-21
2024-10-28,3949.098876953125,3984.199951171875,4134.0,3960.0,4068.949951171875,8808688,2024-10-28
2024-11-04,4110.46484375,4147.0,4205.7998046875,3913.25,3966.300048828125,12401187,2024-11-04
2024-11-11,4109.37451171875,4145.89990234375,4234.2998046875,4116.4501953125,4128.2001953125,5918372,2024-11-11
2024-11-18,4207.205078125,4244.60009765625,4254.9501953125,3990.199951171875,4213.0,10571077,2024-11-18
2024-11-25,4233.2236328125,4270.85009765625,4377.39990234375,4195.64990234375,4280.0,12247798,2024-11-25
2024-12-02,4406.3349609375,4445.5,4489.0,4230.0498046875,4270.0,12573325,2024-12-02
2024-12-09,4434.48486328125,4473.89990234375,4494.89990234375,4394.39990234375,4430.4501953125,9671413,2024-12-09
2024-12-16,4133.55908203125,4170.2998046875,4475.0,4152.5,4459.0,13579407,2024-12-16
2024-12-23,4128.15771484375,4164.85009765625,4218.0,4114.89990234375,4200.0498046875,5443788,2024-12-23
2024-12-30,4063.779541015625,4099.89990234375,4199.2998046875,4032.050048828125,4151.0,7358547,2024-12-30
2025-01-06,4228.0693359375,4265.64990234375,4297.0,4011.550048828125,4105.5,17222696,2025-01-06
2025-01-13,4087.964599609375,4124.2998046875,4322.9501953125,4100.0498046875,4245.0,13498125,2025-01-13
2025-01-20,4115.767578125,4152.35009765625,4191.35009765625,4030.0,4145.7998046875,9401710,2025-01-20
2025-01-27,4037.265380859375,4073.14990234375,4156.35009765625,4028.300048828125,4102.0,8698509,2025-01-27
2025-02-03,3993.900634765625,4029.39990234375,4150.0,3998.699951171875,4030.89990234375,9340233,2025-02-03
2025-02-10,3900.183837890625,3934.85009765625,4052.0,3900.0,4040.0,8787706,2025-02-10
2025-02-17,3752.645263671875,3786.0,3934.0,3751.300048828125,3856.5,13038860,2025-02-17
2025-02-24,3452.5625,3483.25,3763.199951171875,3457.0,3743.14990234375,17519344,2025-02-24
2025-03-03,3579.385009765625,3611.199951171875,3625.0,3464.300048828125,3485.0,15127898,2025-03-03
2025-03-10,3480.117431640625,3511.050048828125,3622.10009765625,3484.10009765625,3606.5,7867247,2025-03-10
2025-03-17,3546.576904296875,3578.10009765625,3616.25,3462.75,3489.0,12749267,2025-03-17
2025-03-24,3574.379638671875,3606.14990234375,3710.0,3566.60009765625,3600.0,11285033,2025-03-24
2025-03-31,3270.33203125,3299.39990234375,3606.14990234375,3295.5,3606.14990234375,14237994,2025-03-31
2025-04-07,3203.0302734375,3231.5,3349.0,3056.050048828125,3100.0,22280739,2025-04-07
2025-04-14,3269.83642578125,3298.89990234375,3314.39990234375,3218.0,3231.5,8828897,2025-04-14
2025-04-21,3417.623046875,3448.0,3477.800048828125,3284.10009765625,3290.10009765625,13682533,2025-04-21
2025-04-28,3400.772705078125,3431.0,3509.89990234375,3366.0,3435.0,7702721,2025-04-28
2025-05-05,3409.990966796875,3440.300048828125,3504.5,3398.10009765625,3450.0,9161682,2025-05-05
2025-05-12,3529.9248046875,3561.300048828125,3630.5,3502.199951171875,3505.0,12626121,2025-05-12
2025-05-19,3483.63623046875,3514.60009765625,3558.0,3451.300048828125,3550.0,9324618,2025-05-19
2025-05-26,3432.88720703125,3463.39990234375,3545.0,3453.10009765625,3521.0,11250520,2025-05-26
2025-06-02,3354.385009765625,3384.199951171875,3473.5,3358.699951171875,3450.0,12925590,2025-06-02
2025-06-09,3445.699951171875,3445.699951171875,3489.0,3390.89990234375,3400.0,13224192,2025-06-09
2025-06-16,3435.699951171875,3435.699951171875,3538.0,3410.89990234375,3440.0,11766371,2025-06-16
2025-06-23,3441.10009765625,3441.10009765625,3466.39990234375,3370.0,3415.0,12941707,2025-06-23
2025-06-30,3419.800048828125,3419.800048828125,3489.89990234375,3390.10009765625,3439.89990234375,10575309,2025-06-30
