Date,Adj Close_WSI.NS,Close_WSI.NS,High_WSI.NS,Low_WSI.NS,Open_WSI.NS,Volume_WSI.NS,Date
2023-09-25,106.30000305175781,106.30000305175781,110.0,94.0,102.44999694824219,201695,2023-09-25
2023-10-02,105.5999984741211,105.5999984741211,106.30000305175781,99.0,106.30000305175781,156352,2023-10-02
2023-10-09,107.9000015258789,107.9000015258789,111.1500015258789,98.0,104.9000015258789,231337,2023-10-09
2023-10-16,100.6500015258789,100.6500015258789,112.0,100.05000305175781,108.80000305175781,148740,2023-10-16
2023-10-23,100.8499984741211,100.8499984741211,104.9000015258789,93.4000015258789,101.5,172879,2023-10-23
2023-10-30,99.9000015258789,99.9000015258789,102.0,97.44999694824219,100.8499984741211,191411,2023-10-30
2023-11-06,108.5999984741211,108.5999984741211,108.5999984741211,97.0,99.8499984741211,299002,2023-11-06
2023-11-13,120.0,120.0,123.6500015258789,108.30000305175781,111.94999694824219,539125,2023-11-13
2023-11-20,123.55000305175781,123.55000305175781,125.19999694824219,121.0999984741211,122.4000015258789,305753,2023-11-20
2023-11-27,118.5,118.5,123.55000305175781,116.3499984741211,123.55000305175781,143665,2023-11-27
2023-12-04,114.0,114.0,122.5999984741211,114.0,120.8499984741211,117464,2023-12-04
2023-12-11,116.5999984741211,116.5999984741211,118.19999694824219,114.0,115.19999694824219,148890,2023-12-11
2023-12-18,110.0999984741211,110.0999984741211,117.25,108.55000305175781,114.30000305175781,91209,2023-12-18
2023-12-25,113.94999694824219,113.94999694824219,120.0,108.0,110.0999984741211,241300,2023-12-25
2024-01-01,120.0,120.0,125.5,111.1500015258789,114.94999694824219,241842,2024-01-01
2024-01-08,125.19999694824219,125.19999694824219,138.89999389648438,123.0,126.0,968345,2024-01-08
2024-01-15,123.4000015258789,123.4000015258789,129.0,115.1500015258789,127.4000015258789,405120,2024-01-15
2024-01-22,118.0,118.0,123.4000015258789,113.0,123.4000015258789,340841,2024-01-22
2024-01-29,134.4499969482422,134.4499969482422,139.0,120.44999694824219,123.4000015258789,974558,2024-01-29
2024-02-05,176.64999389648438,176.64999389648438,194.0,134.10000610351562,138.9499969482422,4360432,2024-02-05
2024-02-12,169.5500030517578,169.5500030517578,180.0,154.5500030517578,180.0,1204377,2024-02-12
2024-02-19,158.35000610351562,158.35000610351562,173.0,155.35000610351562,172.1999969482422,822167,2024-02-19
2024-02-26,147.39999389648438,147.39999389648438,161.0,146.10000610351562,158.0,841334,2024-02-26
2024-03-04,150.5,150.5,167.85000610351562,137.1999969482422,153.35000610351562,1724837,2024-03-04
2024-03-11,132.60000610351562,132.60000610351562,157.0,124.80000305175781,157.0,1156962,2024-03-11
2024-03-18,145.85000610351562,145.85000610351562,155.0,129.8000030517578,134.9499969482422,838185,2024-03-18
2024-03-25,150.0,150.0,157.8000030517578,137.0,145.85000610351562,847606,2024-03-25
2024-04-01,157.1999969482422,157.1999969482422,165.35000610351562,144.9499969482422,154.5,1431951,2024-04-01
2024-04-08,145.10000610351562,145.10000610351562,163.64999389648438,143.0,160.85000610351562,791649,2024-04-08
2024-04-15,151.35000610351562,151.35000610351562,154.9499969482422,132.0,132.0,570827,2024-04-15
2024-04-22,158.3000030517578,158.3000030517578,161.4499969482422,149.6999969482422,154.8000030517578,1110803,2024-04-22
2024-04-29,154.10000610351562,154.10000610351562,164.6999969482422,152.1999969482422,161.0500030517578,649603,2024-04-29
2024-05-06,145.4499969482422,145.4499969482422,158.8000030517578,144.10000610351562,155.0,483587,2024-05-06
2024-05-13,172.35000610351562,172.35000610351562,173.6999969482422,144.0,144.0,1427048,2024-05-13
2024-05-20,148.6999969482422,148.6999969482422,178.9499969482422,146.0500030517578,167.35000610351562,2641763,2024-05-20
2024-05-27,137.4499969482422,137.4499969482422,153.64999389648438,135.0,149.8000030517578,752954,2024-05-27
2024-06-03,133.14999389648438,133.14999389648438,143.75,111.8499984741211,142.0500030517578,1047108,2024-06-03
2024-06-10,150.05999755859375,150.05999755859375,152.39999389648438,133.14999389648438,139.75,1016215,2024-06-10
2024-06-17,145.27000427246094,145.27000427246094,154.3000030517578,143.0,150.05999755859375,791983,2024-06-17
2024-06-24,143.27999877929688,143.27999877929688,146.8000030517578,140.0,143.50999450683594,499487,2024-06-24
2024-07-01,168.89999389648438,168.89999389648438,176.57000732421875,143.41000366210938,143.97999572753906,5963193,2024-07-01
2024-07-08,167.7899932861328,167.7899932861328,175.0,156.74000549316406,168.89999389648438,1228999,2024-07-08
2024-07-15,161.74000549316406,161.74000549316406,185.66000366210938,160.0,170.0,3019039,2024-07-15
2024-07-22,169.63999938964844,169.63999938964844,185.0,154.0,157.99000549316406,1871589,2024-07-22
