Date,Adj Close_PLASTIBLEN.NS,Close_PLASTIBLEN.NS,High_PLASTIBLEN.NS,Low_PLASTIBLEN.NS,Open_PLASTIBLEN.NS,Volume_PLASTIBLEN.NS,Date
2024-05-06,251.53565979003906,258.04998779296875,278.3999938964844,253.64999389648438,276.79998779296875,61822,2024-05-06
2024-05-13,259.9185485839844,266.6499938964844,274.6000061035156,253.39999389648438,258.04998779296875,51802,2024-05-13
2024-05-20,249.97605895996094,256.45001220703125,267.8999938964844,255.5,267.1000061035156,53282,2024-05-20
2024-05-27,244.0787811279297,250.39999389648438,260.8500061035156,249.60000610351562,255.10000610351562,49538,2024-05-27
2024-06-03,247.19801330566406,253.60000610351562,259.5,227.14999389648438,252.8000030517578,76881,2024-06-03
2024-06-10,262.3067321777344,269.1000061035156,273.1499938964844,253.10000610351562,257.0,123567,2024-06-10
2024-06-17,267.1805114746094,274.1000061035156,279.0,264.0,269.1000061035156,116537,2024-06-17
2024-06-24,260.60089111328125,267.3500061035156,279.70001220703125,265.54998779296875,275.0,67264,2024-06-24
2024-07-01,291.74432373046875,299.29998779296875,300.79998779296875,264.0,264.0,326219,2024-07-01
2024-07-08,307.5841064453125,315.54998779296875,322.0,283.5,303.8999938964844,523559,2024-07-08
2024-07-15,296.6668395996094,304.3500061035156,337.0,301.1000061035156,331.1499938964844,621568,2024-07-15
2024-07-22,301.199462890625,309.0,317.45001220703125,295.0,304.3500061035156,169756,2024-07-22
2024-07-29,306.25042724609375,309.8500061035156,323.29998779296875,300.95001220703125,313.6499938964844,204729,2024-07-29
2024-08-05,300.1224670410156,303.6499938964844,317.79998779296875,297.0,308.0,253333,2024-08-05
2024-08-12,283.6164855957031,286.95001220703125,306.95001220703125,286.0,305.20001220703125,119162,2024-08-12
2024-08-19,316.0354309082031,319.75,331.8500061035156,286.95001220703125,286.95001220703125,522937,2024-08-19
2024-08-26,355.0271301269531,359.20001220703125,366.6000061035156,311.29998779296875,322.6000061035156,1511860,2024-08-26
2024-09-02,336.0501708984375,340.0,398.45001220703125,337.04998779296875,372.0,2294240,2024-09-02
2024-09-09,331.8001403808594,335.70001220703125,353.0,311.25,330.0,151073,2024-09-09
2024-09-16,306.8434753417969,310.45001220703125,337.0,301.70001220703125,335.70001220703125,98255,2024-09-16
2024-09-23,302.0003662109375,305.54998779296875,327.3999938964844,301.54998779296875,319.8999938964844,106529,2024-09-23
2024-09-30,290.2386169433594,293.6499938964844,311.0,287.8999938964844,309.8999938964844,53794,2024-09-30
2024-10-07,289.5467834472656,292.95001220703125,311.0,274.0,294.0,86828,2024-10-07
2024-10-14,270.2733154296875,273.45001220703125,290.0,268.0,280.0,145477,2024-10-14
2024-10-21,240.77008056640625,243.60000610351562,273.0,240.6999969482422,266.0,45042,2024-10-21
2024-10-28,249.87307739257812,252.80999755859375,260.0,242.0,249.89999389648438,28504,2024-10-28
2024-11-04,258.20513916015625,261.239990234375,269.70001220703125,242.5,255.0,44923,2024-11-04
2024-11-11,241.195068359375,244.02999877929688,270.0,242.0,262.3999938964844,24626,2024-11-11
