Date,Adj Close_SHREECEM.NS,Close_SHREECEM.NS,High_SHREECEM.NS,Low_SHREECEM.NS,Open_SHREECEM.NS,Volume_SHREECEM.NS,Date
2025-05-05,29230.0,29230.0,29925.0,28720.0,29340.0,123213,2025-05-05
2025-05-12,31615.0,31615.0,31835.0,29610.0,29610.0,357012,2025-05-12
2025-05-19,31495.0,31495.0,31920.0,31190.0,31615.0,143425,2025-05-19
2025-05-26,29595.0,29595.0,31695.0,29480.0,31495.0,203963,2025-05-26
2025-06-02,29600.0,29600.0,29840.0,29190.0,29785.0,123522,2025-06-02
2025-06-09,29610.0,29610.0,30200.0,29240.0,29700.0,137462,2025-06-09
2025-06-16,28875.0,28875.0,29905.0,28590.0,29700.0,362304,2025-06-16
2025-06-23,31030.0,31030.0,31280.0,28355.0,28755.0,523956,2025-06-23
2025-06-30,31315.0,31315.0,31885.0,30595.0,30895.0,148678,2025-06-30
2025-07-07,31210.0,31210.0,31675.0,30825.0,31315.0,126026,2025-07-07
2025-07-14,31080.0,31080.0,31470.0,30830.0,31210.0,37858,2025-07-14
