Date,Adj Close_MOREPENLAB.NS,Close_MOREPENLAB.NS,High_MOREPENLAB.NS,Low_MOREPENLAB.NS,Open_MOREPENLAB.NS,Volume_MOREPENLAB.NS,Date
2023-10-16,35.0,35.0,36.54999923706055,34.900001525878906,35.599998474121094,7854599,2023-10-16
2023-10-23,33.150001525878906,33.150001525878906,35.29999923706055,31.299999237060547,35.099998474121094,8366411,2023-10-23
2023-10-30,36.20000076293945,36.20000076293945,37.20000076293945,32.54999923706055,33.29999923706055,16468020,2023-10-30
2023-11-06,38.5,38.5,38.79999923706055,35.400001525878906,36.349998474121094,26524146,2023-11-06
2023-11-13,39.20000076293945,39.20000076293945,40.599998474121094,37.95000076293945,39.349998474121094,21020105,2023-11-13
2023-11-20,44.349998474121094,44.349998474121094,47.29999923706055,38.650001525878906,39.70000076293945,94588919,2023-11-20
2023-11-27,45.099998474121094,45.099998474121094,48.0,43.349998474121094,44.349998474121094,45844378,2023-11-27
2023-12-04,42.5,42.5,46.5,42.0,46.0,23154962,2023-12-04
2023-12-11,46.45000076293945,46.45000076293945,47.349998474121094,42.5,42.70000076293945,37512561,2023-12-11
2023-12-18,49.25,49.25,50.599998474121094,43.849998474121094,47.0,87667264,2023-12-18
2023-12-25,48.54999923706055,48.54999923706055,52.95000076293945,48.099998474121094,49.25,51174508,2023-12-25
2024-01-01,50.04999923706055,50.04999923706055,51.95000076293945,48.400001525878906,48.75,41483737,2024-01-01
2024-01-08,49.349998474121094,49.349998474121094,52.150001525878906,49.0,50.400001525878906,30617574,2024-01-08
2024-01-15,46.20000076293945,46.20000076293945,49.75,44.54999923706055,49.70000076293945,22110103,2024-01-15
2024-01-22,45.04999923706055,45.04999923706055,46.75,43.400001525878906,46.20000076293945,11875672,2024-01-22
2024-01-29,52.849998474121094,52.849998474121094,56.20000076293945,45.5,45.5,92486780,2024-01-29
2024-02-05,51.95000076293945,51.95000076293945,56.29999923706055,50.79999923706055,53.20000076293945,46215382,2024-02-05
2024-02-12,52.849998474121094,52.849998474121094,53.900001525878906,47.099998474121094,52.150001525878906,37975109,2024-02-12
2024-02-19,53.29999923706055,53.29999923706055,56.400001525878906,52.0,53.099998474121094,37340582,2024-02-19
2024-02-26,49.20000076293945,49.20000076293945,53.5,48.0,53.5,16208216,2024-02-26
2024-03-04,46.599998474121094,46.599998474121094,50.95000076293945,45.900001525878906,50.900001525878906,12192204,2024-03-04
2024-03-11,42.0,42.0,47.0,38.54999923706055,46.900001525878906,25730100,2024-03-11
2024-03-18,43.099998474121094,43.099998474121094,43.79999923706055,40.20000076293945,42.70000076293945,13928987,2024-03-18
2024-03-25,42.04999923706055,42.04999923706055,43.45000076293945,41.599998474121094,43.099998474121094,12092884,2024-03-25
2024-04-01,48.0,48.0,49.20000076293945,42.650001525878906,42.650001525878906,21111166,2024-04-01
2024-04-08,46.04999923706055,46.04999923706055,48.45000076293945,45.75,48.25,6657011,2024-04-08
2024-04-15,49.04999923706055,49.04999923706055,49.75,43.04999923706055,44.25,20670829,2024-04-15
2024-04-22,51.0,51.0,53.150001525878906,49.099998474121094,51.04999923706055,25286304,2024-04-22
2024-04-29,49.650001525878906,49.650001525878906,52.45000076293945,49.099998474121094,51.400001525878906,10128248,2024-04-29
2024-05-06,46.150001525878906,46.150001525878906,50.0,44.25,49.95000076293945,10211226,2024-05-06
2024-05-13,47.900001525878906,47.900001525878906,48.25,44.5,46.150001525878906,11614765,2024-05-13
2024-05-20,48.900001525878906,48.900001525878906,52.20000076293945,46.849998474121094,46.849998474121094,29841123,2024-05-20
2024-05-27,46.25,46.25,50.0,45.79999923706055,50.0,13400435,2024-05-27
