Date,Adj Close_SAGARDEEP.NS,Close_SAGARDEEP.NS,High_SAGARDEEP.NS,Low_SAGARDEEP.NS,Open_SAGARDEEP.NS,Volume_SAGARDEEP.NS,Date
2024-07-22,31.760000228881836,31.760000228881836,37.70000076293945,30.510000228881836,36.369998931884766,1290587,2024-07-22
2024-07-29,31.520000457763672,31.520000457763672,32.95000076293945,30.450000762939453,32.95000076293945,148827,2024-07-29
2024-08-05,29.329999923706055,29.329999923706055,31.399999618530273,28.75,30.889999389648438,145793,2024-08-05
2024-08-12,28.6200008392334,28.6200008392334,30.399999618530273,27.399999618530273,29.329999923706055,52347,2024-08-12
2024-08-19,29.030000686645508,29.030000686645508,30.200000762939453,28.0,29.799999237060547,78356,2024-08-19
2024-08-26,27.639999389648438,27.639999389648438,29.950000762939453,26.93000030517578,29.950000762939453,135977,2024-08-26
2024-09-02,28.31999969482422,28.31999969482422,30.0,27.25,27.639999389648438,72838,2024-09-02
2024-09-09,28.190000534057617,28.190000534057617,29.350000381469727,27.520000457763672,28.889999389648438,56066,2024-09-09
2024-09-16,27.850000381469727,27.850000381469727,29.600000381469727,26.899999618530273,27.700000762939453,68797,2024-09-16
2024-09-23,27.100000381469727,27.100000381469727,28.739999771118164,26.950000762939453,27.799999237060547,62878,2024-09-23
2024-09-30,27.15999984741211,27.15999984741211,27.989999771118164,26.510000228881836,27.639999389648438,39404,2024-09-30
2024-10-07,28.8799991607666,28.8799991607666,29.190000534057617,26.5,27.15999984741211,90181,2024-10-07
2024-10-14,27.06999969482422,27.06999969482422,29.989999771118164,26.549999237060547,28.889999389648438,164764,2024-10-14
2024-10-21,26.239999771118164,26.239999771118164,27.59000015258789,25.719999313354492,27.450000762939453,56876,2024-10-21
2024-10-28,27.260000228881836,27.260000228881836,27.899999618530273,25.079999923706055,25.350000381469727,39310,2024-10-28
2024-11-04,27.309999465942383,27.309999465942383,27.360000610351562,25.799999237060547,26.719999313354492,72385,2024-11-04
2024-11-11,25.709999084472656,25.709999084472656,28.399999618530273,25.5,27.59000015258789,84288,2024-11-11
2024-11-18,25.950000762939453,25.950000762939453,26.389999389648438,25.15999984741211,26.0,299853,2024-11-18
2024-11-25,26.18000030517578,26.18000030517578,26.969999313354492,25.670000076293945,26.010000228881836,43042,2024-11-25
2024-12-02,27.15999984741211,27.15999984741211,28.200000762939453,25.010000228881836,26.399999618530273,85441,2024-12-02
2024-12-09,27.149999618530273,27.149999618530273,27.780000686645508,26.100000381469727,27.399999618530273,52885,2024-12-09
2024-12-16,28.889999389648438,28.889999389648438,30.93000030517578,26.520000457763672,27.399999618530273,247277,2024-12-16
2024-12-23,27.81999969482422,27.81999969482422,29.200000762939453,27.5,28.809999465942383,52249,2024-12-23
2024-12-30,29.579999923706055,29.579999923706055,30.399999618530273,27.049999237060547,27.360000610351562,101837,2024-12-30
2025-01-06,27.0,27.0,29.709999084472656,27.0,29.579999923706055,58873,2025-01-06
2025-01-13,33.90999984741211,33.90999984741211,34.099998474121094,26.5,26.959999084472656,476875,2025-01-13
2025-01-20,32.81999969482422,32.81999969482422,34.5,31.610000610351562,33.900001525878906,463285,2025-01-20
2025-01-27,32.779998779296875,32.779998779296875,34.09000015258789,29.610000610351562,31.600000381469727,390987,2025-01-27
2025-02-03,35.29999923706055,35.29999923706055,36.20000076293945,31.84000015258789,32.0099983215332,570638,2025-02-03
2025-02-10,32.0,32.0,36.209999084472656,30.270000457763672,35.95000076293945,414089,2025-02-10
2025-02-17,31.989999771118164,31.989999771118164,33.58000183105469,29.700000762939453,30.200000762939453,126589,2025-02-17
2025-02-24,31.510000228881836,31.510000228881836,33.529998779296875,30.25,33.0,194764,2025-02-24
2025-03-03,31.549999237060547,31.549999237060547,33.95000076293945,29.829999923706055,31.049999237060547,87154,2025-03-03
2025-03-10,30.270000457763672,30.270000457763672,32.70000076293945,29.700000762939453,32.70000076293945,44093,2025-03-10
2025-03-17,30.149999618530273,30.149999618530273,31.290000915527344,27.520000457763672,30.889999389648438,82501,2025-03-17
2025-03-24,28.729999542236328,28.729999542236328,30.899999618530273,27.520000457763672,29.059999465942383,130324,2025-03-24
2025-03-31,28.770000457763672,28.770000457763672,30.799999237060547,27.5,28.729999542236328,82053,2025-03-31
2025-04-07,29.149999618530273,29.149999618530273,29.5,28.040000915527344,28.059999465942383,132162,2025-04-07
2025-04-14,29.459999084472656,29.459999084472656,30.549999237060547,28.520000457763672,29.06999969482422,81479,2025-04-14
2025-04-21,30.90999984741211,30.90999984741211,32.0,28.809999465942383,29.8700008392334,141318,2025-04-21
2025-04-28,30.010000228881836,30.010000228881836,33.38999938964844,29.06999969482422,31.399999618530273,151894,2025-04-28
2025-05-05,29.049999237060547,29.049999237060547,30.190000534057617,28.0,29.09000015258789,31421,2025-05-05
2025-05-12,29.889999389648438,29.889999389648438,30.739999771118164,29.010000228881836,29.049999237060547,45204,2025-05-12
