Date,Adj Close_HIRECT.NS,Close_HIRECT.NS,High_HIRECT.NS,Low_HIRECT.NS,Open_HIRECT.NS,Volume_HIRECT.NS,Date
2024-07-15,694.0445556640625,695.2000122070312,750.0,694.5,749.0,75311,2024-07-15
2024-07-22,716.5570678710938,717.75,747.0,675.0,704.5,94507,2024-07-22
2024-07-29,830.25,830.25,830.25,720.75,734.75,291737,2024-07-29
2024-08-05,863.1500244140625,863.1500244140625,896.4500122070312,801.0999755859375,864.0,553112,2024-08-05
2024-08-12,811.9500122070312,811.9500122070312,906.2999877929688,776.8499755859375,906.2999877929688,191509,2024-08-12
2024-08-19,964.4000244140625,964.4000244140625,986.7999877929688,829.0,829.0,304965,2024-08-19
2024-08-26,918.4500122070312,918.4500122070312,1012.5999755859375,913.0499877929688,964.4000244140625,252989,2024-08-26
2024-09-02,907.3499755859375,907.3499755859375,931.7999877929688,870.0,921.75,138915,2024-09-02
2024-09-09,878.4000244140625,878.4000244140625,940.7999877929688,870.0,926.0,150007,2024-09-09
2024-09-16,818.0499877929688,818.0499877929688,888.2999877929688,789.5499877929688,878.4000244140625,92252,2024-09-16
2024-09-23,868.9000244140625,868.9000244140625,929.9500122070312,857.0499877929688,858.9500122070312,232929,2024-09-23
2024-09-30,876.9000244140625,876.9000244140625,920.0,862.4500122070312,904.9500122070312,130099,2024-09-30
2024-10-07,883.5,883.5,893.3499755859375,772.8499755859375,876.9000244140625,69494,2024-10-07
2024-10-14,1161.699951171875,1161.699951171875,1174.6500244140625,838.0,869.0,880505,2024-10-14
2024-10-21,1027.25,1027.25,1207.550048828125,952.8499755859375,1180.0,347575,2024-10-21
2024-10-28,1218.5999755859375,1218.5999755859375,1218.5999755859375,975.9000244140625,1030.0,194740,2024-10-28
2024-11-04,1194.25,1194.25,1279.25,1135.3499755859375,1248.0,516938,2024-11-04
2024-11-11,1108.1500244140625,1108.1500244140625,1253.449951171875,1082.4000244140625,1194.25,184790,2024-11-11
2024-11-18,1137.949951171875,1137.949951171875,1210.0,1070.0,1085.0999755859375,146672,2024-11-18
2024-11-25,1270.0,1270.0,1270.0,1129.949951171875,1170.0,154740,2024-11-25
2024-12-02,1464.8499755859375,1464.8499755859375,1508.5,1250.0,1318.699951171875,407520,2024-12-02
2024-12-09,1512.550048828125,1512.550048828125,1572.75,1468.050048828125,1499.949951171875,226722,2024-12-09
2024-12-16,1441.300048828125,1441.300048828125,1588.1500244140625,1441.0999755859375,1524.25,145417,2024-12-16
2024-12-23,1380.5,1380.5,1510.0,1347.449951171875,1440.0,121257,2024-12-23
2024-12-30,1409.0999755859375,1409.0999755859375,1452.25,1329.1500244140625,1362.550048828125,216987,2024-12-30
2025-01-06,1249.5999755859375,1249.5999755859375,1414.050048828125,1241.449951171875,1414.050048828125,139827,2025-01-06
2025-01-13,1293.8499755859375,1293.8499755859375,1306.800048828125,1131.25,1233.0,157265,2025-01-13
2025-01-20,1172.6500244140625,1172.6500244140625,1353.699951171875,1171.300048828125,1353.699951171875,91447,2025-01-20
2025-01-27,1180.0999755859375,1180.0999755859375,1289.699951171875,1045.699951171875,1164.0999755859375,121915,2025-01-27
2025-02-03,1067.0,1067.0,1159.050048828125,1045.1500244140625,1159.050048828125,102682,2025-02-03
2025-02-10,1006.9500122070312,1006.9500122070312,1076.949951171875,908.1500244140625,1070.0,142714,2025-02-10
